lyrics;emotion
"언제나 너에게 주기만 하는 나";"3"
"고마운 마음이 이미 지겨워지는 너";"5"
"왜 이렇게 난 나를 전부 잃어가면서 어쩌자고 너를";"5"
"대책 없는 감정을 사랑이라고 나를 설득시켜가며 믿어보려고";"3"
"다시 돌아 올 거라며";"0"
"사랑이 공평 할 수는 없을까";"3"
"우리가 같은 마음 일 순 없을까";"5"
"오해 하고 지치고 이해 하려 애쓰다 또 멀어져 가는 너";"3, 5"
"사랑이 공평 할 순 없을까";"3"
"언제나 너는 불완전한 내게 어디에 있던 공기같이 내게";"4"
"왜 이렇게 자꾸 넌 너를 잃어가면서 네 모든걸 준대도";"5"
"멀어진 내 감정은 마지막이라고 나를 설득 시켜가며 돌아 가보려고";"3"
"노력해본거라면 사랑이 공평 할 수는 없을까";"3"
"우리가 같은 마음 일 순 없을까";"5"
"오해 하고 지치고 이해 하려 애쓰다 또 멀어져 가는 너";"3, 5"
"사랑이 공평 할 순 없을까";"3"
"이렇게 아파 하는걸 서로 느껴가면서 모든 순간이 너 이길 바랬나봐";"5"
"대답하기 힘든 질문들만 묻고있는 슬픈 네 얼굴에";"5"
"이별보다 힘들 수 없는걸 아는데";"5"
"사랑이 공평 할 수는 없을까 우리가 같은 마음 일 순 없을까";"3, 5"
"오해 하고 지치고 이해 하려 애쓰다 또 멀어져 가는 너";"3, 5"
"사랑이 공평 할 순 없을까";"3"
"못 지킬 약속이면 하지 말아요";"3"
"우리 지금은 감정이 앞서 있죠";"3"
"이루어질 순 없어요 우린";"5"
"조금만 내가 아닌 곳을 바라보아요";"4"
"고개를 돌리면 텅 비었죠";"5"
"모든 걸 잃어가면서 우린 우린 우린 사랑했죠";"5"
"우린 우린 우린 사랑했죠";"1"
"못 지킬 약속이면 하지 말아요 우리 눈물이 나는 것조차 지쳐요";"3, 5"
"이루어질 순 없어요 우린";"5"
"우리가 잊지 못하는 건 추억이에요";"0"
"서로가 아니라 우리가 견뎌야 하는 건 이별이에요";"5"
"서로가 아니라 우린 우린 우린 사랑했죠";"1"
"우린 우린 우린 사랑했죠";"1"
"우린 우린 우린 우린 우린 우린 우린 우린 모든 걸 잃어가면서 우린 우린 우린 사랑했죠";"5"
"어쩌면 우리 서로 만난 건 운명일지 몰라서";"2"
