lyrics;emotion
"언제나 너에게 주기만 하는 나";"3"
"고마운 마음이 이미 지겨워지는 너";"5"
"왜 이렇게 난 나를 전부 잃어가면서 어쩌자고 너를";"5"
"대책 없는 감정을 사랑이라고 나를 설득시켜가며 믿어보려고";"3"
"다시 돌아 올 거라며";"0"
"사랑이 공평 할 수는 없을까";"3"
"우리가 같은 마음 일 순 없을까";"5"
"오해 하고 지치고 이해 하려 애쓰다 또 멀어져 가는 너";"3, 5"
"사랑이 공평 할 순 없을까";"3"
"언제나 너는 불완전한 내게 어디에 있던 공기같이 내게";"4"
"왜 이렇게 자꾸 넌 너를 잃어가면서 네 모든걸 준대도";"5"
"멀어진 내 감정은 마지막이라고 나를 설득 시켜가며 돌아 가보려고";"3"
"노력해본거라면 사랑이 공평 할 수는 없을까";"3"
"우리가 같은 마음 일 순 없을까";"5"
"오해 하고 지치고 이해 하려 애쓰다 또 멀어져 가는 너";"3, 5"
"사랑이 공평 할 순 없을까";"3"
"이렇게 아파 하는걸 서로 느껴가면서 모든 순간이 너 이길 바랬나봐";"5"
"대답하기 힘든 질문들만 묻고있는 슬픈 네 얼굴에";"5"
"이별보다 힘들 수 없는걸 아는데";"5"
"사랑이 공평 할 수는 없을까 우리가 같은 마음 일 순 없을까";"3, 5"
"오해 하고 지치고 이해 하려 애쓰다 또 멀어져 가는 너";"3, 5"
"사랑이 공평 할 순 없을까";"3"
