lyrics;emotion
"I think these days I'm better off on my own 요즘 난 혼자가 더 좋아";"1"
"I think these days I'm better off on my own 더 나아지고 있는 것 같거든";"1"
"Can't lie I'm missing all your love but I won't 너의 사랑이 그리운 건 맞지만";"0"
"Run back to you uninvited 무작정 너에게 달려가지는 않을 거야";"1"
"When I think about how your crying 네가 우는 모습이 생각 나도 말이야";"5"
"Something ain't right, yeah 뭔가 이상해";"6"
"Cuz lately I'm fine, yeah 내가 요즘 너무 아무렇지 않은 게";"1"
"Guess there's an end to heartbreak after all this time 마음이 무너지는 시간도 다 끝나가나 봐";"5"
"Just look and you'll find it 너도 보면 무슨 말인지 알 거야";"1"
"Cuz even when crying 가끔 슬픔이 밀려올 때도";"5"
"I'm slowly remembering 나는 천천히 떠올릴 수 있게 됐어";"1"
"how I used to live my life without you 너 없이 내가 살아왔던 시간들을";"0"
"Without you 네가 없는 이 삶은";"4"
"I was living a lie 다 거짓말 같았지만";"5"
"But now I'm thinking on my own 지금 난 온전한 혼자를 상상해";"1"
"Can't lie I'm missing all your love but I won't 너의 사랑이 그리운 건 맞지만";"0"
"Run back to you uninvited 무작정 너에게 달려가지는 않을 거야";"1"
"When I think about how your crying 네가 우는 모습이 생각 나도 말이야";"5"
"I gotta be honest 솔직해져야겠지";"6"
"Stop all the crying, Mm 우는 건 그만 두자";"6"
"I feel like I've lost myself I've forgotten 잊고 있었던 나 자신을 잃어버린 것 같아";"5"
"Yeah, you'd be acting like a fool 그래, 너는 바보처럼 굴겠지만";"3"
"I don't think I can handle 내가 감당할 수 없을 것 같아";"3"
"Feeling like I'm losing myself for what I love no 사랑하는 것 때문에 나를 잃어가고 있으니까";"5"
"And though that we're done 너와 난 이미 끝났지만";"5"
"Things still reminding me about us 여전히 우리를 떠올리게 하는 것들";"0"
"Remember all that we've done 우리가 함께 한 모든 걸 기억해 줘";"0"
"I think I'm done with our love 우리 사랑은 여기까지만이야";"5"
"We're better alone 이제는 혼자 있는 게 나아";"1"
"I know that we are better off alone 우린 혼자라도 괜찮을 거야";"1"
"I know that I am better on my own 난 그럴 거라는 걸 알아";"1"
"I'm missing all our love 우리 사랑이 그립겠지만";"0"
"But I should give this up 여기서 그만둬야 할 것 같아";"5"
"I'm better off now that we are alone 이제 혼자인 게 더 행복하니까'";"1"
