lyrics;emotion
"Girlfriend is on the car We good say the lie You push 오늘만 You talk 나를 오빠라고";"6"
"Girlfriend is on the party We should say the love You push 오늘만 You talk 나를 오빠야";"6"
"둘이서 바로 We can 둘이 서봐도 We good You need somebody I wish you yeah";"1"
"꿈에서 봐도 We can 둘이서 바로 We good You need somebody I wish you Say";"1"
"Cause you Dance Shoot the movie Oh When she's got them movin' Oh We got the movie Oh Yeah";"6"
"This talk about Dance Shoot the movie Oh When she's got them movin' Oh We got the movie Oh Yeah";"6"
"Girlfriend is under party We good say the lie You push 오늘만 You talk 나를 오빠라고";"6"
"Girlfriend is on the car We should say the love You push 오늘만 You talk 나를 오빠야";"6"
"둘이서 바로 We can 둘이 서봐도 We good You need somebody I wish you yeah";"1"
"꿈에서 봐도 We can 둘이서 바로 We good You need somebody I wish you Say";"1"
"Cause you Dance Shoot the movie Oh When she's got them movin' Oh We got the movie Oh Yeah";"6"
"This talk about Dance Shoot the movie Oh When she's got them movin' Oh We got the movie Oh Yeah";"6"
"Cause you Dance Shoot the movie Oh When she's got them movin' Oh We got the movie Oh Yeah";"6"
"This talk about Dance Shoot the movie Oh When she's got them movin' Oh We got the movie Oh Yeah";"6"
"Girlfriend is on the party We good say the lie You push 오늘만 You talk 나를 오빠라고";"6"
