,diary,emotion,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,근데 그런 기대와 행복한 상상은 시작부터 깨져버렸다.,5,,,,0.0,432.0
1,"나에게는 아무도 없는거 같았다 아이들과 같이 있어도 혼자 있는것만 같은,함께 이야기를 해도 벽이 있는거 같은 느낌이었다.그벽은 어떤거보다도 두껍고 단단했다.",4,,,,1.0,2342.0
2,시간이 지나면 나아지겠지했던것도 그냥 내 상상에 불과했다.,3,,,,2.0,1304.0
3,"수많은 사람,친구들을 만났지만 달라지는건 없었다",4,,,,3.0,2080.0
4,그렇게 내가 변하고보니 이게 과연 나를 위한거였을까하는 생각이 가장 먼저 떠올랐다.,5,,,,4.0,398.0
5,내가 잘나고 못하는게 없어도 무언가 허전한 감정이 내 마음의 한 구석을 차지하고 있었다.,5,,,,5.0,1777.0
6,나는 나를 위한 삶을 살면서 전에 했던 부정적인 생각들을 훨씬 많이 줄이고 편안하게 사는것같다,1,,,,,
7,그래서 나는 다른 사람들의 시선을 너무 신경쓰지말고 자기 자신이 원하는게 무엇인지 바라는게 무엇인지,1,,,,,
8,찾는게 훨씬 좋다고 생각한다.,1,,,,,
9,언니라는 이유로 마구 심부름을 시키고 날 부려먹는 저 악마!!!!,3,,,,,
10,오늘도 심부름을 하면 온라인 쇼핑몰에서 후드티를 사준다고 했다 난 믿을수없어서 그럼 내가 볼때 결제를 하라고 했다. 결제까지 한것을 확인히고 난 도서관에서 책을 빌려왔다.,3,,,,,
11,그런데 후드티가 계속 도착하지 않아서 물어봤더니 바보ㅇㅑ 취소했지,3,,,,,
12,난 속은게 억울해서 계속 울었다,5,,,,,
13,그러니와서 또 장난질이다 억울해서 밀었더니 발로 나를 찼다,5,,,,,
14,엄마가 들어왔는데 내 이야기는 듣지도 않고 둘이 또 싸운다고 혼냈다,5,,,,,
15,난 억을해서 집을 나왔다,5,,,,,
16,ㅁㅊㄸㄹㅇ,3,,,,,
17,난 오늘도 또 속았다,5,,,,,
18,다시는 저인간하고 말도 안할꺼다,3,,,,,
19,매일 거짓말과 폭력으로 날 괴롭히는 저 언니라는 인간은 악마다,3,,,,,
20,난 외동인 친구가 부럽다,5,,,,,
21,우리집에서 유일하게 날 위로해주는건 두부다,4,,,,,
22,하지만 언니가 매일 두부를 데리고 논다고 지방에 데려간다,5,,,,,
23,그럼 난 방에서 폰을 하며 독립해서 살 집을 상상해본다,4,,,,,
24,화장실과 방만 있으면 난 어디서든 악마가 있는 이곳보다 행복할것 같다,1,,,,,
25,난 열심히 저축해서 악마가 있는곳을 탈출할 꺼다.,3,,,,,
26,난 인터넷에서 집을 알아보면 행복하다,1,,,,,
27,저 악마만 없으면 어디서든 행복할것같다,1,,,,,
28,오늘은 대한민국 청소년의 하루를 보여주도록 하겠습니다 그 수많은 입시의 경쟁률을 뚫기위해 청소년들은 힘들게 하루 하루를 살아갑니다 그 청소년들중에서 나의 이야기를 들려드리겠 습니다 저는 오늘 10시에 기상했습니다 오늘따라 힘든지 온몸이 욱씬욱씬 거려 잠을 많이 들지 못했다 오늘은 힘든날이다 오늘 나의스케줄은 1시에 수학을가서 7시쯤 끝날거 같다 하루하루가 힘든거같다 하여튼 나는 수학을가기전 아침겸점심을 먹기위해 뼈해장국으로 배를 든든하게 채우고 학원갈 준비를 하였다 나는 먹고 바로 한숨밖에 안나왔다 왜냐하면 약 6시간의 수학학원시간이 기다리고 있기때문이다 근데 오늘 친구를 만났더니 그 힘든게 싹 사라졌다 나도모르게 힘든게 아무것도 생각나지않고 웃음밖에 안나왔다 나는 바로 수학학원에 도착하였다 근데 학원오자마자 선생님에게 맞았다 왜냐하면 친구와내가 30분을 늦게왔기때문에 맞았다 나는 나의 잘못이 크기때문에 맞아도 싸다고 생각하였다 근데 나는 한편 억울하기도 하였다 왜냐하면 사실 친구를 기다리느라 늦은건데 나한테 때려서 억울했다,5,,,,,
