lyric,Emotion
고마운 마음이 이미 지겨워지는 너,0
왜 이렇게 난 나를 전부 잃어가면서,5
나를 설득시켜가며 믿어보려고,1
다시 돌아 올 거라며,0
우리가 같은 마음 일 순 없을까,1
오해 하고 지치고 이해 하려 애쓰다,3
또 멀어져 가는 너,0
언제나 너는 불완전한 내게,0
왜 이렇게 자꾸 넌 너를 잃어가면서,5
네 모든걸 준대도 멀어진 내 감정은,0
돌아 가보려고 노력해본거라면,1
우리가 같은 마음 일 순 없을까,1
오해 하고 지치고 이해 하려 애쓰다,3
또 멀어져 가는 너,0
이렇게 아파 하는걸 서로 느껴가면서,5
모든 순간이 너 이길 바랬나봐,0
대답하기 힘든 질문들만 묻고있는,3
슬픈 네 얼굴에 이별보다 힘들 수 없는걸 아는데,5
우리가 같은 마음 일 순 없을까,1
오해 하고 지치고 이해 하려 애쓰다,3
또 멀어져 가는 너,0
우리 지금은 감정이 앞서 있죠,1
이루어질 순 없어요,5
우린 조금만 내가 아닌 곳을 바라보아요,0
고개를 돌리면 텅 비었죠,4
모든 걸 잃어가면서 우린 우린 우린 사랑했죠,5
우린 우린 우린 사랑했죠,1
우리 눈물이 나는 것조차 지쳐요,5
이루어질 순 없어요,5
우린 우리가 잊지 못하는 건 추억이에요,0
서로가 아니라 우리가 견뎌야 하는 건 이별이에요,5
서로가 아니라 우린 우린 우린 사랑했죠,1
우린 우린 우린 사랑했죠,1
모든 걸 잃어가면서 우린 우린 우린 사랑했죠,5
우린 우린 우린 사랑했죠,1
모든 걸 잃어가면서 우린 우린 우린 사랑했죠,5
우연처럼 필연처럼 우리들은 운명이라 믿었어,1
더는 외롭지 않을 거야 언제든 기댈 수 있어서,0
이젠 힘들고 지쳐 위로받고 싶어,3
슬프고 아파 이해되길 바라,5
세상의 모든 사랑하는 그대 당신의 편이 돼 줄게,1
더는 외롭지 않을 거야 언제든 기댈 수 있어서,0
이젠 힘들고 지쳐 위로받고 싶어,3
슬프고 아파 이해되길 바라,5
세상의 모든 사랑하는 그대 당신의 편이 돼 줄게,1
이 세상이란 환한 빛처럼 밝게 비춰 줄게요,1
힘들고 지쳐 위로받고 싶어,3
슬프고 아파 이해되길 바라,5
세상의 모든 사랑하는 그대 당신의 편이 돼 줄게,1
당신의 편이 돼 줄게,1
익숙한 네 말투와 따뜻했던 너의 품이 다시 또 무너지게 만들어,5
눈물이 떨어지고 모든 게 내 생각과 반대로 인 거야,5
익숙한 네 말투와 따뜻했던 너의 품이 다시 또 무너지게 만들어,5
또 하나의 상처만 늘어가는 거겠지,5
익숙한 네 말투와 따뜻했던 너의 품이 또다시 무너지게 만들어,5
이렇게 무너지게 만들어,5
아무도 모르는 비밀,0
요즘 내 안에 누군가 생긴 것만 같아,2
정말이야 점점 커지는 것 같아,2
그게 누구냐고 고백이 참 어려워,3
오늘도 나만 혼자 말하는 거야,4
너만 몰라 사실은 내가 말한 그 사람 반한 그 사랑,1
구름에 가려진 별처럼 뒤에 숨어 항상 너만 보던 나야,0
너인 줄도 모르고 그렇게 바보처럼 말하는 거야,1
너만 몰라 사실은 내가 말한 그 사람 반한 그 사랑,1
구름에 가려진 별처럼 뒤에 숨어 항상 너만 보던 나야,0
다가갈까 조금씩 말해볼까 넌 어때 자신이 없어 걱정돼,3
지금 이렇게 좋은 우리 가까운 사이 깨어질까,3
모두들 물어봐 언제쯤 고백해 답답하게 또 기다려,3
나를 알아주길 내 맘 알아주길,0
구름에 가려진 별처럼 보이지 않아도 내 맘 항상 너야,0
사람들 틈에 숨어서 소리도 없이 또 흘렸던 셀 수 없는 눈물,5
셀 수 없는 기억 그 어떤 말의 위로들도 위로가 되지 않아서,5
너무 힘든 하루 너무 아픈 하루,3
모두 잠든 밤 숨죽여 울지 마,0
마음속의 널 깨워 마주할 수 있게,1
서투른 발걸음 이젠 다 괜찮아,1
두렵지 않도록 손 내밀어 줄게,1
천천히 와줄래 겨울이 지나고 찾아온 봄처럼,1
얼어붙은 마음 넘어지지 않게 천천히 와줄래,1
눈앞의 나와 눈 맞추고 수고했다는 말을 건네면,1
내게 스며든 용기 더는 작아지지 않아,1
가끔은 중심을 잃고서 넘어질 것만 같이 보여도,3
그저 해 오던 대로 다시 믿으며 나아가,1
모두 잠든 밤 숨죽여 울지 마,0
마음속의 널 깨워 마주할 수 있게,1
서투른 발걸음 이젠 다 괜찮아,1
두렵지 않도록 손 내밀어 줄게,1
천천히 와줄래 겨울이 지나고 찾아온 봄처럼,1
얼어붙은 마음 넘어지지 않게 천천히 와줄래,1
언제든지 어디서라도 빛날 거야,1
찬란하게 어제의 어둠 오늘의 눈물,1
걱정하지 마 누구보다 환하게 빛날 테니까,1
서투른 발걸음 이젠 다 괜찮아,1
두렵지 않도록 손 내밀어 줄게,1
