diary,emotion
"지금보다 더 어른이 되어서도, 이 끈을 놓지 않았으면.",0
사실 하늘을 나는 것은 어릴 때부터 내가 바라 오던 것이었다. '초능력을 하나 갖게 된다면 어떤 것이 제일 좋을까?'라고 스스로에게 질문할 때마다 나는 늘 '하늘을 날고싶어!'라고 곧바로 대답했으니 말이다. 하늘을 난다고 해서 부와 명예와 같은 세속적 가치를 얻을 수는 없겠지만 오히려 그러한 점에서 내겐 몽상과 낭만의 극치처럼 여겨졌다.,0
엄마가  평생 이렇게 편지를 많이 써본 적은 처음이다.  훈련소에 있는 너에게 매일 편지를 쓰는 3개월이 의미 있는 시간이었다. 내 평생 너에게 이렇게 많은 시간을 할애해서 이야기를 할  날이 또 올까? 너는 또  언제 내 편지를 이렇게 고맙게 받아보겠니?  우리가 서로에게 이렇게 소중한 사람이라는 걸 떨어져 있어보니 깨닫는 것이 아니겠니?,0
이제 마지막으로 이 눈을 쓸어,0
"시간이 참 빨리 가는 것 같다. 나는 95년생으로 올해 만으로 25살이다. 올해 대학을 졸업했다. 대학 입학했을 때만 하더라도 졸업은 상상도 하지 못했던 일이었다. 그런데 그것이 실제로 일어났다. 이제 나는 기나긴 학생 딱지를 벗어던지고 진짜 진짜로 사회인으로서의 새출발을 해야만 한다. 이것이 극도로 무서워서 나는 한동안 불안 증세에 시달리기까지 했다. (지금이라고 벗어난 것은 아니다.) 최대한 취업을 유예해 보려고 각종 자격증을 따려는 시도 또한 하고 있다. 인간은 왜 이렇게 어리석을까? 그동안 주어진 그 많은 방학동안은 뭐 하고...(사실 열심히 즐겁게 놀았다. 후회하지 않는다) 아무튼 운전면허 필기를 땄고 실기 준비를 하고 있으며 필기를 합격해 둔 컬러리스트는 다시 피눈물을 흘리며 학원에 등록해 실기 준비를 다시 하고 있다. 매 시간 매 때마다 나는 내가 늦지 않았다고, 그래도 차근차근 잘 준비하고 있다고 되뇌이고 있다. 내가 학교 생활을 열심히 했으면 불안해하지 않고 자신있게 사회로 나갈 수 있었을까? 열심히 안 했기 때문에 평생 모를 문제이다...그렇지만 어떻게 6년을 열심히 살어 내 인생의 목표는 대충 굶어죽지 않을 만큼만 벌어 먹으며 살기이고 이것을 나는 나름 잘 하고 있다고 생각하면서...자기 위안을 한다. 살면서 는 것은 정신승리 뿐이 없지만??그래도 대한민국 평균 젊은이의 삶이 다 이렇지 않을지... 대한민국 젊은이 모독이 아니기만을 바란다. 취직 준비를 하면서 자격증을 따러 돌아다니며 느낀 건데, 돈이 정말 중요하다. 돈이 많아야 한다. 새삼스럽지만 정말 그렇다. 나를 보호하던 학생이라는 껍질이 없어진 것이다. 이제 돈이 없어도 아 제가 학생이라서요~ 하는 변명을 할 수가 없어진다. 이제 나는 스스로를 책임지고 나 혼자 벌어서 나 혼자 먹고 살며 나의 미래와 부모님의 미래, 나와 함께 할 사람의 미래를 준비해야 한다. 까마득하다. 솔직히 절망스럽고 해 낼 자신이 없다. 하지만 내가 여태까지 살아오면서...어떻게든 해 냈듯이, 결과가 좋지 않더라도 살아는 갈 것이다. 그러기를 바란다.",0
어젠가 그젠가 눈이 왔다. 요즘 날씨가 따뜻해서인지 마당과 지붕에 내린 눈은 아침에 해가 뜨자마자 다 녹아 버렸다. 저기 멀리 산그늘 아래에는 아직도 하얗게 쌓여 있지만.,0
관광학과를 나오고 밖으로 나가길 좋아했던 나는 항상 어딘가를 가고싶어했었다.  그리고 퇴사를 결심했을때,0
그래서 평생 사랑해야지.,0
사실 군산에서 잘 알려진 관광지로는 은파라는 큰 호수를 끼고 있는 장소가 있다. 시간 상관없이 사람들이 많은곳이라 과거에 은파는 사람들이 운동을 가는곳이었는데 지금은 관광객과 운동하는 사람이 섞여 다양한 사람들의 욕구에 맞게 이용되고 있다. 시대는 빠르게 변하고 많은 정보들이 인터넷을 통해 공유되어서 젊은 사람이건 나이든 사람이건 원하는 곳을 이용함에 있어서 열심히이다. 은파는 군산시에 의하여 주도적으로 관리되어서 매년 벚꽃나무가 늘어가고 있어 3월 중순 벚꽃이 만개할때에는 사람에 치여 은파에 갈수없는 지경에 이르렀다. 개인적으로는 은파의 한겨울에 드라이브를 하는걸 좋아한다. 꼬불꼬불 이어진 나무숲사이에 눈이 쌓인 모습은 언제 보아도 절경이다. 이제는 눈이 많이 오지 않아 자주 보지는 못하지만 은파에 대한 추억은 겨울이 최고라는 생각을 한다.,0
집에서 엄마가 차려주던 따뜻한 밥이 그립다.,0
"우리 가족은 동생 물건을 정리하다 사진 한 장을 발견했다. 다들 차려입고 찍었던 첫 가족사진이었다. 그렇게 사진을 찍자, 찍자 해놓고 일 년이 지나서야 겨우 찍은 사진이다. 한 달 전에 찍었던 거라 사진은 현재 모습과 크게 다르지 않았다. 너는 이토록 선명한데, 내겐 아직 뚜렷이 존재하는데 더는 만날 수 없다. 날숨과 들숨이 없다. 시선을 마주할 수 없다. 믿기지 않는다.",0
그 일로부터 벌써 6년이 지났다. 지금까지 무사히 버텨낸 내가 대견스럽기도 하고,0
