lyric,Emotion
때로는 눈물도 흘렸지.,0
안녕 나의 사랑 그대여,0
많이 보고 싶었다고 말해줘,0
"""I believe and I can fly 우린 하늘을 날고 있잖아""",0
하늘 높은 줄 몰랐던 내 자존심도 니 앞에선 힘도 없이 down.,0
You are under me and mine,0
너도 아는 그런 맘인 거야,0
내 생각해주오,0
감긴 네 눈동자 숨소리 사이로 보여,0
I know you wish me well,0
그게 뭐라고 또 생각나,0
오 네 생각이나,0
우리 둘은 얼마나 오래 같이 걷게 될까,0
마지막 인사로는 나름 잘 했던 것 같은데,0
내일 아침에 깨면 처음 보는 게 너였으면 해,0
옛날 생각나요 우리가 처음 만났었던 그곳의 맛이 없었던 팥빙수,0
흘려가는 세월을 찾을 수만 있다면 얼마나 좋을까 좋을까,0
Wasting your life,0
걱정은 멀리멀리 다 날아가는 듯해 (사라진 듯해),0
계절의 밤이 끝나면 그대는 이곳을 떠나,0
우연히 마주침을 바란 적도 있어,0
흘려가는 세월을 찾을 수만 있다면 얼마나 좋을까 좋을까,0
날 이제 놔줘,0
나의 창은 굳게 닫아 두고 해가 뜨면 그때 열어줄래,0
Never leave Have to stay,0
차라리 모두 다 가슴에 묻어 버리자,0
그게 뭐라고 또 생각나,0
이제 아무 일도 없단 듯이 날 안아줘,0
제가 당신이 될 수 있을까요,0
가슴 깊이 숨어있어 나도 몰랐던 emotions 찾아내고 싶어 call you mine,0
한참을 멍하니 서서 바보처럼,0
내 곁에 있어줘,0
I got my cards folded waiting for you babe,0
I got my cards folded waiting for you babe,0
잊고 싶던 기억들이 되살아나,0
안녕 차갑던 너의 안녕,0
내 두사랑은 한 사랑보다 깊어 난 두 사람 중 한 사람도 곁에서 보낼 수 없는데 이러면 안 되는데,0
별거 아닌 잔소리가 사실 제일 그리워,0
나 언젠간 그 사람에게도 잊혀질까요,0
창밖을 바라보다 네 생각이나,0
이별 앞에서 내가 조금 더 애썼다면 지금의 우린 어땠을까,0
날 혼자두고 그댄 어디있나요,0
내려오는 이 비를 맞으면 가슴속에 너의 추억이 자란다,0
너에게 달려가 봤을 때 모든게 변함이 없네,0
우리였던 그 시간들이 흩어 바래져버린 바램들이,0
그대가 오늘도 맘속에 숨어 있어,0
다신 볼 수 없어도,0
"""One swipe of a finger She leaves and I linger""",0
"""And I never see your face around""",0
그리고 지나치지만 사실은 요즘 매일 네 생각해,0
그대 어디에 있나요 내게 대답해줘요,0
Waiting for the light to take us in,0
무렇지 않게 돌아올 것 같단 말이야,0
차라리 모두 다 가슴에 묻어 버리자,0
내 사랑은 다 어디로 갔나 너의 미움은 다 어디로 갔나,0
그대까지 날 그만 잊어요,0
우린 얼음 같던 날들을 녹이려 해,0
내 사랑은 다 어디로 갔나 너의 미움은 다 어디로 갔나,0
그날의 바다는 퍽 다정했었지,0
바다로 떠난 네 비행기는 어디쯤일까,0
"""Still no matter where I go""",0
지금도 널 위해 나는 살아가고 있으니 힘들지만 기다릴게,0
혼자 애만 태우다 수없이 연습해왔던 그 말 알잖아,0
God I wish somebody would have told me,0
홀로 사랑의 발자취를 따라가며 애쓰다,0
오늘 가도 왜 말이 없는지,0
두 손을 모아 보네,0
You are under me and mine,0
먼 일처럼 점점 넌 떠나가나 봐,0
목소리 듣고 싶을 때 대답해 줘요,0
자꾸 생각나는데,0
다신 볼 수 없어도,0
내 추억 속에 남아있어줘요,0
너를 자꾸 떠올리게 돼,0
나의 창은 굳게 닫아 두고 해가 뜨면 그때 열어줄래,0
"""I think of you""",0
I know you wish me well,0
문득 생각을 했어,0
난 니 생각에 잠 못 이뤘다고 하면 너의 단잠을 깨울까 봐 쿨쿨 잤어,0
늦어버린 거겠지,0
You are under me and mine,0
Without it 그토록 원해왔던 건,0
나 약속할게 언제 어디에 있든 반드시 널 찾을게,0
날 이제 놔줘,0
오늘은 말할게 네게 이제껏 숨겨온 이 말 있잖아,0
아주 가끔 너도 멋진 Real man 때론 원할 텐데,0
넌 벌써 날 다 잊었니,0
"""다른 곳엔 기대지 말자 yeah I believe and I can fly 우린 하늘을 날고 있잖아""",0
Really thought I knew you so well (So well),0
내게 보여준 눈물까지 너와 가졌던 순간들은 다 다 지났지만,0
만날 수 없을 줄 알았어,0
"""난 널 앞에 두고 I can't wait""",0
이제 다시 찾지 않아 술에 취해 전화하지 않아,0
가만히 눈을 감고 있으면 여전히 느낄 수 있어,0
Let it fly away fly away,0
"""Mother sister father brother""",0
날 혼자두고 그댄 어디있나요,0
해가 저물고 그 자릴 메꾼 별들 그 아래 너를 다시 볼 수 있게 밤이 왔으면 좋겠어,0
만날 수 없을 줄 알았어,0
"""난 널 앞에 두고 I can't wait""",0
"""어디쯤을 지나는 걸까 매번 똑같이 궁금해도""",0
그대 생각이 든 김에 두 눈을 감아 봅니다,0
can i b u?,0
"""다른 곳엔 기대지 말자 yeah I believe and I can fly 우린 하늘을 날고 있잖아""",0
How does the moon look tonight,0
너의 마음에 문을 두드릴게,0
너를 그리워하다 하루가 다 지났어,0
가끔 생각날 테니 그렇게 내게 전부였던 그대를,0
오래 내 곁에 있어 줘요,0
진짜 네 맘을 알고 싶어,0
감긴 네 눈동자 숨소리 사이로 보여,0
잊고 싶던 기억들이 되살아나,0
하지만 그대여 다른 건 다 잊어도 이것만은 기억했으면 좋겠어,0
날 좋아해선 안돼요,0
오래 내 곁에 있어 줘요,0
여보 안녕히 잘 가시게,0
내 옆에는 오늘 너겠지,0
자꾸만 그때 네가 생각나,0
I know you wish me well,0
Wasting your life,0
"""And I know you for a long time""",0
hey let your sea breeze blow on me when i am sailing internationally and whisper all your prayers on a stormy day,0
날 혼자두고 그댄 어디있나요,0
늦어버린 거겠지,0
보고 싶어라 오늘도 그 사람을 떠올리려 산책을 하네,0
어쩌면 가끔은 네 생각이 떠오를까 봐 겁나,0
다시는 없을 거라면 이젠 보내줄게,0
시간 지나면 혹시 나를 봐줄까,0
자꾸 생각나는데,0
계절은 다시 돌아 오지만 떠나간 내 사랑은 어디에,0
우린 얼음 같던 날들을 녹이려 해,0
별이 빛나는 밤에,0
그냥 보고 싶어 그래 오늘도,0
가끔 생각날 테니 그렇게 내게 전부였던 그대를,0
옛날 생각나요 우리가 처음 만났었던 그곳의 맛이 없었던 팥빙수,0
지친 마음 속의 너를 꺼내어 오늘을 즐겨,0
다시 뒤돌아보지 말자 길을 잃어버려서 우릴 갈라놓아도,0
나의 창은 굳게 닫아 두고 해가 뜨면 그때 열어줄래,0
홀로 사랑의 발자취를 따라가며 애쓰다,0
창밖을 바라보다 네 생각이나,0
"""Who need a hero? (Hero)""",0
