id,artist,song_name,lyric,Emotion,first_max,second_max
0,정민,아픔의 나이,울고 그런 것 하나도 모른 채 스물의 절반을 살아는 왔네요 이러나저러나 시간은 잘 가고 뛰지도 않았는데 많이도 왔네요 많은 이들 아직은 갈 길이 멀다고 내 맘도 모른 채 타박만 하네요 다 같은 맘이야 상황만 다를 뿐 우리가 느끼는 감정은 같아요 아픔에 나이가 어딨겠냐고 사랑에 완성이 있긴 하냐고 젊음의 청춘이 어디까지고 노년의 황혼은 끝이 없다고 아픔에 나이가 어딨겠냐고 사랑에 서툶은 당연하다고 젊음의 청춘이 짧긴 하다만 우리의 감정은 모두 같아요 내가 아주 어릴 땐 남들과는 다르게 특별하고 멋진 삶 살아갈 줄 알았죠 늦지 않았다고 힘든 건 다 같아 멈춰있을 시간도 없다고 하네요 아픔에 나이가 어딨겠냐고 사랑에 완성이 있긴 하냐고 젊음의 청춘이 어디까지고 노년의 황혼은 끝이 없다고 아픔에 나이가 어딨겠냐고 사랑에 서툶은 당연하다고 젊음의 청춘이 짧긴 하다만 우리의 감정은 모두 같아요',슬픔,5,3
1,황치열,이별을 걷다 (A Walk To Goodbye),불 꺼진 창가를 보고야 무거워진 발걸음 되돌려 참 힘겨웠던 이별을 마지막 배웅 길을 꽤 담담히 걸을 수 있었어  따스했던 늦은 오후 햇살 우두커니 홀로 선 가로등 눈 내린 새벽 골목도 그 위에 발자욱도 안녕 안녕 모두 안녕이야  이 길을 걷다 내 생각이 난다면 그때 꼭 한번 뒤돌아보기로 해 너에게 어렵게 건넸던 고백도 밤새워 속삭인 사랑도 나 모두 여기에 두고 갈게  늦은 밤 이 길을 걸으며 너와 내가 나누던 얘기들 참 설레었던 입맞춤 그 많던 약속들도 안녕 안녕 모두 안녕이야  이 길을 걷다 혹 눈물이 난다면 그때 꼭 한번 뒤돌아보기로 해 수화기 너머로 불러준 노래도 조금은 시시한 농담도 나 모두 여기에 두고 갈게  수백 번 수천 번도 더 오고 간 이 길이 이상하게 낯설고 막 아프고 버거워 돌아갈 수 없어 또 수많은 밤을 난 헤매게 될지 몰라  이별을 걷다 난 이별을 걷는다 걸음걸음이 모두 다 이별이라 억지로 발끝만 보고 서 있지만 오늘이 힘겨울 널 위해 나 그만 여기서 돌아설게  안녕 부디 좋은 꿈 꾸기를',슬픔,0,4
2,투앤비(2NB),얼마나 더 아파해야 이별이 끝이 날까,괜찮은 줄 알았어 아무렇지 않게 하루를 보내다 보니까 니 생각이 나는 많은 흔적들을 어느새 지운 줄 알았어  차라리 우리가 만나지 않았더라면 지금의 우리는 어땠을까 내일이 두려운 하루를 살아가는 게 생각보다 많이 힘든 것 같아  얼마나 더 아파해야 이별이 끝이 날까 우리가 사랑했던 자리엔 아직 둘만 알던 수많은 것들이 생각보다 많이 남아서 너와 있던 그날에 살아  생각도 못 했던 이별을 알았더라면 지금의 우리는 달라졌을까 내일이 두려운 하루를 살아가는 게 생각보다 많이 아픈 것 같아  얼마나 더 아파해야 이별이 끝이 날까 우리가 사랑했던 자리엔 아직 둘만 알던 수많은 것들이 생각보다 많이 남아서 너와 있던 그날에 혼자 살아  너에겐 지워질 기억들이겠지만 내겐 추억이라서 함께 한 모든 순간이 아픈가 봐  어떡해야 좋았던 추억마저 잊혀질까 한없이 사랑했던 자리엔 아직 우리였던 수많은 날들에 니가 있었다는 게 감사해 조금만 더 아프다 지워볼게',슬픔,5,4
3,성시경,너의 모든 순간,이윽고 내가 한눈에 너를 알아봤을 때 모든 건 분명 달라지고 있었어  내 세상은 널 알기 전과 후로 나뉘어  니가 숨 쉬면 따스한 바람이 불어와 니가 웃으면 눈부신 햇살이 비춰  거기 있어줘서 그게 너라서 가끔 내 어깨에 가만히 기대주어서 나는 있잖아 정말 빈틈없이 행복해 너를 따라서 시간은 흐르고 멈춰  물끄러미 너를 들여다보곤 해 그것 말고는 아무것도 할 수 없어서 너의 모든 순간 그게 나였으면 좋겠다 생각만 해도 가슴이 차올라 나는 온통 너로  보고 있으면 왠지 꿈처럼 아득한 것 몇 광년 동안 날 향해 날아온 별빛 또 지금의 너  거기 있어줘서 그게 너라서 가끔 나에게 조용하게 안겨주어서 나는 있잖아 정말 남김없이 고마워 너를 따라서 시간은 흐르고 멈춰  물끄러미 너를 들여다보곤 해 너를 보는 게 나에게는 사랑이니까 너의 모든 순간 그게 나였으면 좋겠다 생각만 해도 가슴이 차올라 나는 온통 너로 니 모든 순간 나였으면',슬픔,0,4
4,임한별,길을 잃었다,길을 잃은 것 같아 너와 헤어진 뒤로 어떤 방향도 없이 헤매이는 것 같아  생각보다 이별은 대책 없이 아파서 가시밭길을 혼자 걷는듯해  용감했던 이별 뒤에 끝없는 후회만 해 니가 전부였다는 걸 그땐 몰랐어  니가 없는 나는 길을 잃었다 너를 잃고 나는 모든 걸 잃었다  니가 없는 나의 세상은 앞이 보이질 않아 두려워 난 멈춰 서있다 난 길을 잃었다  너 하나 없는데 내게 남은 게 하나 없어 텅 빈 내가 아닌 나로 그렇게 살아  니가 없는 나는 길을 잃었다 너를 잃고 나는 모든 걸 잃었다  니가 없는 나의 세상은 앞이 보이질 않아 두려워 난 멈춰 서있다  니가 없는 공기들로  숨을 쉬는 게 니가 없는 작은 위로들로 견뎌내는 게  난 안돼  너를 잊지도 못해 나 혼자선 할 수 있는 게 단 하나도 없어  니가 없는 나는 길을 잃었다 너를 잃고 나는 모든 걸 잃었다  니가 없는 나의 세상은 앞이 보이질 않아 두려워 난 멈춰 서있다 난 길을 잃었다',슬픔,5,4
5,오현우,항상 널 지켜줄 거야,네가 없던 세상은 창문 없던 집처럼 너무나 참 캄캄했었지 어두웠던 내 삶에 빛을 밝혀준 사람 네가 있어 견딜 수 있었어 이젠 네가 없는 내 삶은 자신이 없어 너의 모든 날들을 내 곁에 있어줘 비가 오는 날이면 내가 우산이 될게 언제나 어깨에 기대어도 돼 어두운 밤이 오면 내가 빛이 돼줄게 언제나 내 곁에 있어줘 별이 쏟아지는 밤 그 시간 속에 너와 나 수줍게 비추는 네 미소 너로 가득한 이맘 점점 닮아가는 나 이런 게 사랑인 건가 봐 지치거나 힘들 때 곁에 있어준 너의 모든 날들을 내가 지켜줄게 비가 오는 날이면 내가 우산이 될게 언제나 어깨에 기대어도 돼 어두운 밤이 오면 내가 빛이 돼줄게 언제나 내 곁에 있어줘 이제 다시는 슬퍼하지 마요 내가 그대를 지켜줄게요 비가 오는 날이면 내가 우산이 될게 언제나 어깨에 기대어도 돼 어두운 밤이 오면 내가 빛이 돼줄게 언제나 내 곁에 있어줘 항상 널 지켜줄 거야',슬픔,0,4
6,하현상,바람이 되어,그댈 닮은 저 시린 꽃잎이 바람에 날려 흩어질까 꿈에 본다면 좋을 텐데 우 바람이 되어 그대의 두 볼에 흐르는 눈물 안을게요 우 바람이 되어 그대 곁에 머물게요 그대 곁에 두 눈에 서린 안개 너머 그대 뒷모습 아른거려 꿈에 본다면 좋을 텐데 우 바람이 되어 그대의 두 볼에 흐르는 눈물 안을게요 우 바람이 되어 그대 곁에 머물게요 곁에 머물게요 그대 느낄 수 없나요 이 바람 끝에 맺힌 내 맘을 그대에게 닿지 못해 길을 잃고 헤매잖아요 바보 같은 내가 보이지 않나요 내가 그대 곁에 있는데 우 바람이 되어 그대의 두 볼에 흐르는 눈물 안을게요 우 바람이 되어 그대 곁에 머물게요 그대 곁에',슬픔,5,0
7,커피소년,무료 나눔,무료 나눔 합니다 상태가 좋아요 관심 눌러줘요  미루고 미루던 정리를 하네요 이 밤 지나면 후회할지 몰라요 어서 가져가세요  문고리 거래할게요 와서 가져가세요 쇼핑백에 담아 둘게요  한때 나에게 전부였던 모든 것이었던 그 시간도 함께 둘게요 무료 나눔 해요  무료 나눔 합니다 상태가 좋아요 관심 눌러줘요  참 소중하게 썼던 물건이에요 이제 필요 없으니 나눔 할게요 어서 가져가세요  문고리 거래할게요 와서 가져가세요 쇼핑백에 담아 둘게요  한때 나에게 전부였던 모든 것이었던 그 시간도 함께 둘게요  사용감은 좀 있어요 아낀다고 아꼈는데 필요하신 분 연락 주세요  차마 내가 버릴 수 없던 이거 가져가요 버리셔도 상관없어요  별점은 높게 주세요 정말 아끼던 거예요 가져가면 연락 주세요  차마 내가 버릴 수 없던 가질 수도 없던  마지막 그대와의 끈 무료 나눔 해요 무료 나눔 해요',슬픔,1,2
8,성휘,안녕은 언제나 쉽지 않은 말,안녕은 언제나 쉽지 않은 말 그때로 돌아가기엔 내 욕심일까 안녕이란 말은 이젠 선명해지고 바람을 타고 날아 가요 난 그때 넌 그때 우리의 새벽은 말야 걱정이 없던 기쁨이야 오래도록 볼 순 없겠죠  맘이 소란해져가 너무 많이 보고 싶어 깊었던 너와의 차고 넘친 흔적과 얼룩만 남아있어 따뜻한 계절이 돌아오면 민들레 꽃잎에 기대 울래 떠도는 바램을 적어보아요 적당히 아프기엔 많이 추워요  한숨만 쉬어져 울어요 빈틈도 없이 서서히 흩날려만 가요  오래도록 볼 순 없겠죠 맘이 소란해져가 너무 많이 보고 싶어 깊었던 너와의 차고 넘친 흔적과 얼룩만 남아있어 따뜻한 계절이 돌아오면 민들레 꽃잎에 기대 울래 깊었던 너와의 차고 넘친 흔적과 얼룩만 남아있어 따뜻한 계절이 돌아오면 민들레 꽃잎에 기대 울래',슬픔,0,4
9,기현,Where Is This Love,"I felt my heart break, got me sober  When I said it's too late, that it's over And we're too far gone to hit rewind   You said that you've been so damn stupid That when you have love you just lose it And you'd do anything to change my mind  But baby words Are not enough When you say that you're in love It's empty, yeah it's empty  Oh where is this love?  Come on I need you to show me  I can't see it  I can't hear it  I can't feel it  I can't touch it  Where is this love?  Cuz saying three words is easy  If I can't see it  I can't hear it  If I can't feel it  I can't touch it Then where is this love?  There are just too many reasons Why we're too tired to pick up the pieces Maybe we were never built to last  You said  Would you hold on for a minute As if the sky is the limit  And what's in the past has really passed  You fade away When you're faced With the possibility  It's over, that it's over  Oh where is this love?  Come on I need you to show me  I can't see it  I can't hear it  I can't feel it  I can't touch it  Where is this love?  Cuz saying three words is easy  If I can't see it  I can't hear it  If I can't feel it  I can't touch it Then where is this love?  How am I supposed to know if we're alright  Am I crazy or have I been missing signs? Need something to help me be at ease to get me  through the night  Through the night   Oh where is this love?  Come on I need you to show me  I can't see it  I can't hear it  I can't feel it  I can't touch it  Where is this love?  Cuz saying three words is easy  If I can't see it  I can't hear it  If I can't feel it  I can't touch it Then where is this love?  Love Love Love Love  Love Love Where is this love?  Love Love Love Love  Love Love Where is this love?'",슬픔,2,1
