id,artist,song_name,lyric,Emotion,first_max,second_max,lines,senti
0,Alfie Templeman,Circles,"Here I am Running round in circles Facing this again Saying things Like I’m truly sorry Ain’t no good revenge I thought we were getting somewhere, lately I see that you don’t seem to care Let me draw it out for you It never ends, running in circles Never ends, circles Now I’m lost and I’m searching for you baby I wish I kept an eye On you closer I thought we were getting somewhere, lately I see that you don’t seem to care, anymore It never ends, running in circles Never ends, circles It never ends, running in circles Never ends, circles'",스트레스&짜증,2,1,"['Here I am Running round in circles', 'Facing this again', 'Saying things Like I’m truly sorry', 'Ain’t no good revenge', 'I thought we were getting somewhere, lately I see that you don’t seem to care', 'Let me draw it out for you', 'It never ends, running in circles', 'Never ends, circles', 'Now I’m lost and I’m searching for you baby', 'I wish I kept an eye On you closer', 'I thought we were getting somewhere, lately I see that you don’t seem to care, anymore', 'It never ends, running in circles', 'Never ends, circles']","['중립(6)', '스트레스&짜증(3)', '그리움(0)', '중립(6)', '외로움(4)', '중립(6)', '스트레스&짜증(3)', '중립(6)', '외로움(4)', '그리움(0)', '슬픔(5)', '스트레스&짜증(3)', '중립(6)']"
1,Wet Leg,Wet Dream,"Beam me up (Beam me up) Count me in (Count me in) Three, two, one (Three, two, one) Let's begin Here we go (Here we go) Here we go (Here we go) Here we go, here we go, here we go  I was in your wet dream, driving in my car Saw you at the side of the road, there's no one else around You're touching yourself, touching yourself, touching your? Touching yourself, touching yourself You said, ""Baby, do you want to comе home with me? I got Buffalo '66 on DVD"" You said, ""Baby, do you want to come home with me? I got Buffalo '66 on DVD""  Beam me up (Beam me up) Count me in (Count me in) Three, two, one (Three, two, one) Let's begin Here we go (Here we go) Here we go (Here we go) Here we go, here we go, here we go  I was in your wet dream, driving in my car What makes you think you're good enough to think about me When you're touching yourself, touching yourself, touching your? Touching yourself, touching yourself? You climb onto the bonnet and you're licking the windscreen I've never seen anything so obscene It's enough to make a girl blush It's enough, it's enough to make a girl blush  It's enough, it's enough, it's enough, it's enough It's enough, it's enough, it's enough, it's enough (To make a girl blush) It's enough, it's enough, it's enough, it's enough It's enough, it's enough, it's enough, it's enough (To make a girl blush) Beam me up (Beam me up) Count me in (Count me in) Three, two, one (Three, two, one) Let's begin Here we go (Here we go) Here we go (Here we go) Here we go, here we go, here we go Beam me up (Beam me up) Count me in (Count me in) Three, two, one (Three, two, one) Let's begin""",스트레스&짜증,2,1,"['Beam me up (Beam me up)', 'Count me in (Count me in)', 'Three, two, one (Three, two, one)', ""Let's begin"", 'Here we go (Here we go)', 'Here we go (Here we go)', 'Here we go, here we go, here we go', 'I was in your wet dream, driving in my car', ""Saw you at the side of the road, there's no one else around"", ""You're touching yourself, touching yourself, touching your?"", 'Touching yourself, touching yourself', 'You said, ""Baby, do you want to come home with me? I got Buffalo \'66 on DVD""', 'You said, ""Baby, do you want to come home with me? I got Buffalo \'66 on DVD""', 'Beam me up (Beam me up)', 'Count me in (Count me in)', 'Three, two, one (Three, two, one)', ""Let's begin"", 'Here we go (Here we go)', 'Here we go (Here we go)', 'Here we go, here we go, here we go', 'I was in your wet dream, driving in my car', ""What makes you think you're good enough to think about me"", ""When you're touching yourself, touching yourself, touching your?"", 'Touching yourself, touching yourself?', ""You climb onto the bonnet and you're licking the windscreen"", ""I've never seen anything so obscene"", ""It's enough to make a girl blush"", ""It's enough, it's enough to make a girl blush"", ""It's enough, it's enough, it's enough, it's enough"", ""It's enough, it's enough, it's enough, it's enough (To make a girl blush)"", ""It's enough, it's enough, it's enough, it's enough"", ""It's enough, it's enough, it's enough, it's enough (To make a girl blush)"", 'Beam me up (Beam me up)', 'Count me in (Count me in)', 'Three, two, one (Three, two, one)', ""Let's begin"", 'Here we go (Here we go)', 'Here we go (Here we go)', 'Here we go, here we go, here we go', 'Beam me up (Beam me up)', 'Count me in (Count me in)', 'Three, two, one (Three, two, one)', ""Let's begin""]","['중립(6)', '중립(6)', '중립(6)', '중립(6)', '설렘&심쿵(2)', '설렘&심쿵(2)', '설렘&심쿵(2)', '사랑&기쁨(1)', '그리움(0)', '스트레스&짜증(3)', '스트레스&짜증(3)', '사랑&기쁨(1)', '사랑&기쁨(1)', '중립(6)', '중립(6)', '중립(6)', '중립(6)', '설렘&심쿵(2)', '설렘&심쿵(2)', '설렘&심쿵(2)', '사랑&기쁨(1)', '스트레스&짜증(3)', '스트레스&짜증(3)', '스트레스&짜증(3)', '스트레스&짜증(3)', '스트레스&짜증(3)', '사랑&기쁨(1)', '사랑&기쁨(1)', '사랑&기쁨(1)', '사랑&기쁨(1)', '사랑&기쁨(1)', '사랑&기쁨(1)', '중립(6)', '중립(6)', '중립(6)', '중립(6)', '설렘&심쿵(2)', '설렘&심쿵(2)', '설렘&심쿵(2)', '중립(6)', '중립(6)', '중립(6)', '중립(6)']"
2,Cosmo's Midnight(코스모스 미드나잇),Bang My Line (feat. Tkay Maidza),"Ooh ooh ooh oowioo Bang my line bang my Ooh ooh ooh oowioo Started as a friend Can't seem to make a move Don't know what to send to you I was waiting for a feeling I won't ever even show And you could be misleading and You'd never even know Bang my line Take your time but don't forget to Bang my line Take your time but don't forget to Ooh ooh ooh oowioo Bang my line bang my Ooh ooh ooh oowioo Take your time but don't forget to Yuh Not really thinking 'bout the future And the repercussions Where the topic is to ride it out Without any discussion Crazy now you see the balance fall I keep it very sweet Twenty feet above the street Windows down and cherry seats Denim pants and dirty tees Never been the one That's tried to take it slow oh yeah You could be misleading And you'd never even know Bang my line Take your time but don't forget to Bang my line Take your time but don't forget to Ooh ooh ooh oowioo Bang my line bang my Ooh ooh ooh oowioo Take your time but don't forget to (Bang my line) You know I been waiting for it Hit the line and bring the foreign Make sure all the seats imported (Bang my line) Read receipts it ain't important If the energy's in orbit Get the dunk I'm speaking Jordans (Bang my line) It ain't a map of the numbers behind us You know yeah you know yeah you know Where it goes Bang my line Take your time but don't forget to Bang my line Take your time but don't forget to Ooh ooh ooh oowioo Bang my line bang my Ooh ooh ooh oowioo Take your time but don't forget to""",스트레스&짜증,2,1,"['Started as a friend', ""Can't seem to make a move"", ""Don't know what to send to you"", 'I was waiting for a feeling', ""I won't ever even show"", 'And you could be misleading and', ""You'd never even know"", ""Take your time but don't forget to"", ""Not really thinking 'bout the future"", 'And the repercussions', 'Where the topic is to ride it out', 'Without any discussion', 'Crazy now you see the balance fall', 'I keep it very sweet', 'Twenty feet above the street', 'Windows down and cherry seats', 'Denim pants and dirty tees', 'Never been the one', ""That's tried to take it slow oh yeah"", 'You could be misleading', ""And you'd never even know"", 'You know I been waiting for it', 'Hit the line and bring the foreign', 'Make sure all the seats imported', ""Read receipts it ain't important"", ""If the energy's in orbit"", ""Get the dunk I'm speaking Jordans"", ""It ain't a map of the numbers behind us"", 'You know yeah you know yeah you know', 'Where it goes']","['6', '2', '6', '0', '6', '6', '6', '6', '6', '3', '6', '6', '5', '1', '6', '1', '6', '6', '6', '6', '6', '0', '1', '1', '6', '1', '1', '6', '6', '6']"
3,Remi Wolf,Photo ID,"Tell the label tell the label No weed no sleep no key I lost 'em in the street And no I can't see without you Billie and Badu I'll follow you into any room 'Cause I can't hear without you (Shit gets weird when you talk about it) Lit in line smile for the photo ID Inside that's where we can be free Your highness watch you sippin' on lean Reminds me that's how it's supposed to be Bitch you fell asleep too fast I want my money back But I can't be without you Stuck behind your beat I kick my feet up you're so mean But I can't dream without you (Shit gets weird when you talk about it) Lit in line smile for the photo ID Inside that's where we can be free Your highness watch you sippin' on lean Reminds me that's how it's supposed to be Alright pictures of my friends On my instagram And photos of my toes on my OnlyFans And visuals in these frames look better than The ones that she posted on Facebook I'm ready when you want to point That shoot that pop that Polaroid that Screw that chop that lean that shit That only happen in my wildest dreams The shit we talk about And listen to behind the screens And I be tryin' to stream consciousness Baby you be tryin' to stream songs like this I told you I just want to remember it I told you I be tryin' to create memories But everybody 'round me want a check Only thing that keep me outta That bag full of that white Or that bottle full of that red is photos On my desk Only thing that keep me out of my head When I'm in my bed Is the photos on the wall Back when we had it all So I've been trying to keep track of it Catch and it vanish like a magic trick Especially when we was on xans and shit Truthfully I don't even understand that shit Another stanza My bitch an actor my homie managing Making sure that they payin' us I'm just a natural When it come to making the plans up And I'm only 25 g Tell that bitch to take a picture For the photo ID Lit in line smile for the photo ID Inside that's where we can be free Your highness watch you sippin' on lean Reminds me that's how it's supposed to be Ooh baby turn out the light You're gonna make my body fight Ooh baby don't you cry Shit gets weird when you talk about it Ooh baby turn off the light You're gonna make my body fight Ooh baby don't you cry Shit gets weird when you talk about Lit in line smile for the photo ID Inside that's where we can be free Your highness watch you sippin' on lean Reminds me that's how it's supposed to be""",스트레스&짜증,2,1,"['문장', '1. Tell the label tell the label', ""2. No weed no sleep no key I lost 'em in the street"", ""3. And no I can't see without you Billie and Badu""]","['숫자:', '6', '3', '']"
4,JAWNY,Anything You Want,You got the funk Gets me stupid gets me drunk I'll do anything that you want Anything that you want want want You got the funk Gets me stupid gets me drunk I'll do anything that you want Anything that you want want want You want my love But I don't give a fuck You call my bluff How can I keep this up I've had enough You know I like it rough Bite my neck and suck my blood Bide my time with such and such You got the funk Gets me stupid gets me drunk I'll do anything that you want Anything that you want want want You got the funk Gets me stupid gets me drunk I'll do anything that you want Anything that you want want want She's got my love No she can't get enough I like it rough But I said that twice fuck Her kiss is tough She speaks in fisticuffs Say my name soon as she walk up Say my name when I beat that up (Ow) You got the funk Gets me stupid gets me drunk I'll do anything that you want Anything that you want want want You got the funk Gets me stupid gets me drunk I'll do anything that you want Anything that you want want want You got the funk Gets me stupid gets me drunk I'll do anything that you want Anything that you want want want You got the funk Gets me stupid gets me drunk I'll do anything that you want Anything that you want want want Anything that you want yeah Anything that you want yeah Anything that you want Yeah yeah yeah yeah yeah (Anything that you want)',스트레스&짜증,2,1,"['You got the funk', 'Gets me stupid gets me drunk', ""I'll do anything that you want"", 'Anything that you want want want', 'You want my love', ""But I don't give a fuck"", 'You call my bluff', 'How can I keep this up', ""I've had enough"", 'You know I like it rough', 'Bite my neck and suck my blood', 'Bide my time with such and such', 'You got the funk', 'Gets me stupid gets me drunk', ""I'll do anything that you want"", 'Anything that you want want want', 'You got the funk', 'Gets me stupid gets me drunk', ""I'll do anything that you want"", 'Anything that you want want want', ""She's got my love"", ""No she can't get enough"", 'I like it rough', 'But I said that twice fuck', 'Her kiss is tough', 'She speaks in fisticuffs', 'Say my name soon as she walk up', 'Say my name when I beat that up', 'You got the funk', 'Gets me stupid gets me drunk', ""I'll do anything that you want"", 'Anything that you want want want', 'You got the funk', 'Gets me stupid gets me drunk', ""I'll do anything that you want"", 'Anything that you want want want', 'You got the funk', 'Gets me stupid gets me drunk', ""I'll do anything that you want"", 'Anything that you want want want', 'You got the funk', 'Gets me stupid gets me drunk', ""I'll do anything that you want"", 'Anything that you want want want', 'Anything that you want yeah', 'Anything that you want yeah', 'Anything that you want', 'Yeah yeah yeah yeah yeah (Anything that you want)']","['1', '2', '1', '1', '1', '3', '3', '3', '3', '2', '2', '6', '1', '2', '1', '1', '1', '2', '1', '1', '1', '1', '2', '3', '2', '3', '1', '1', '1', '2', '1', '1', '1', '2', '1', '1', '1', '2', '1', '1', '1', '2', '1', '1', '1', '1', '1', '1']"
5,Mabel(메이블),I Love Your Girl,"Blocked your number when you left me out in the cold Yeah, I froze, mm Since you chose her, there's been only one way I know How to cope I sit in my car and look through your window She slips off her dress, I'm falling apart It's killing me slow, I can't look away though It's an obsession taken too far I keep on watching you kiss her, thought it was you I was missing But now I've realized, I think I love your girl Wish it was me that was with her, I cut you out of the picture I might've lost my mind, I think I love your girl Better than you, better than you Better than you, I think I love your girl When you touch her, do you touch the way that I like? 'Cause I might, mm If you only knew the things that play in my mind You would die I sit in my car and look through your window She slips off her dress, I'm falling apart It's killing me slow, I can't look away though It's an obsession taken too far I keep on watching you kiss her, thought it was you I was missing But now I've realized, I think I love your girl Wish it was me that was with her, I cut you out of the picture I might've lost my mind, I think I love your girl Better than you, better than you Better than you, I think I love your girl Oh, oh Oh, oh I sit in my car and look through your window It's an obsession taken too far I keep on watching you kiss her, thought it was you I was missing But now I've realized, I think I love your girl Wish it was me that was with her, I cut you out of the picture I might've lost my mind, I think I love your girl Better than you, better than you (Oh woah) Better than you, I think I love your girl (I think I love your girl) Better than you, better than you (Better than you, woah) Better than you, I think I love your girl'",스트레스&짜증,2,1,"['Blocked your number when you left me out in the cold', 'Yeah, I froze, mm', ""Since you chose her, there's been only one way I know"", 'How to cope', 'I sit in my car and look through your window', ""She slips off her dress, I'm falling apart"", ""It's killing me slow, I can't look away though"", ""It's an obsession taken too far"", 'I keep on watching you kiss her, thought it was you I was missing', ""But now I've realized, I think I love your girl"", 'Wish it was me that was with her, I cut you out of the picture', ""I might've lost my mind, I think I love your girl"", 'Better than you, better than you', 'When you touch her, do you touch the way that I like?', ""'Cause I might, mm"", 'If you only knew the things that play in my mind', 'You would die', 'Oh, oh', 'I sit in my car and look through your window', ""It's an obsession taken too far"", 'I keep on watching you kiss her, thought it was you I was missing', ""But now I've realized, I think I love your girl"", 'Wish it was me that was with her, I cut you out of the picture', ""I might've lost my mind, I think I love your girl"", 'Better than you, better than you', 'Oh, oh', 'I sit in my car and look through your window', ""It's an obsession taken too far"", 'I keep on watching you kiss her, thought it was you I was missing', ""But now I've realized, I think I love your girl"", 'Wish it was me that was with her, I cut you out of the picture', ""I might've lost my mind, I think I love your girl"", 'Better than you, better than you (Oh woah)', 'Better than you, I think I love your girl (I think I love your girl)', 'Better than you, better than you (Better than you, woah)', 'Better than you, I think I love your girl']","['3', '5', '0', '6', '4', '5', '5', '3', '0', '0', '0', '2', '1', '2', '2', '3', '3', '6', '4', '3', '0', '0', '0', '2', '1', '6', '4', '3', '0', '0', '0', '2', '1', '1', '1', '1']"
6,Charlotte Sands,Want You Like That,I think I talk about you every time you walk out the door I told my mom about you Damn I've never done that before I'd break his heart I'd make some art And then he'd call me a horrible person But now I'm thinking 'bout you every time that I'm waking up I wrap my arms around you even then you're not close enough You're on my tongue you're in my lungs You call me yours and it sucks cause it's working I brace for the damage You're perfect I panic So happy it's tragic Yeah I want you like that Don't freak out I'm nervous I'll break us on purpose I'm fucked but it's worth it Yeah I want you like that The way you look at me you're good to me don't know what this is Not used to honesty and honestly it's making me sick It's weird you treat me like a person and you don't try to fix me Just wanna be with me But you're tracing every line of my tattoos Wasting all our time in your bedroom Make it out alive I don't want to Cause I want you yeah I brace for the damage You're perfect I panic So happy it's tragic Yeah I want you like that Don't freak out I'm nervous I'll break us on purpose I'm fucked but it's worth it Yeah I want you like that Yeah yeah Yeah I want you like that Yeah yeah Yeah I want you like that Yeah yeah Yeah I want you like that Yeah yeah Yeah I want you like that I brace for the damage You're perfect I panic So happy it's tragic Yeah I want you like that Don't freak out I'm nervous I'll break us on purpose I'm fucked but it's worth it Yeah I want you like that Yeah yeah Yeah I want you like that Yeah yeah Yeah I want you like that Yeah yeah Yeah I want you like that Want you like that Yeah yeah Yeah I want you like that',스트레스&짜증,2,1,"['I think I talk about you every time you walk out the door', 'I told my mom about you', ""Damn I've never done that before"", ""I'd break his heart"", ""I'd make some art"", ""And then he'd call me a horrible person"", ""But now I'm thinking 'bout you every time that I'm waking up"", ""I wrap my arms around you even then you're not close enough"", ""You're on my tongue you're in my lungs"", ""You call me yours and it sucks cause it's working"", 'I brace for the damage', ""You're perfect I panic"", ""So happy it's tragic"", 'Yeah I want you like that', ""Don't freak out I'm nervous"", ""I'll break us on purpose"", ""I'm fucked but it's worth it"", ""The way you look at me you're good to me don't know what this is"", ""Not used to honesty and honestly it's making me sick"", ""It's weird you treat me like a person and you don't try to fix me"", 'Just wanna be with me', ""But you're tracing every line of my tattoos"", 'Wasting all our time in your bedroom', ""Make it out alive I don't want to"", 'Cause I want you yeah', 'Yeah I want you like that', 'Yeah yeah Yeah I want you like that', 'Yeah yeah Yeah I want you like that', 'Yeah yeah Yeah I want you like that', 'Yeah yeah Yeah I want you like that', 'I brace for the damage', ""You're perfect I panic"", ""So happy it's tragic"", 'Yeah I want you like that', ""Don't freak out I'm nervous"", ""I'll break us on purpose"", ""I'm fucked but it's worth it"", 'Yeah I want you like that', 'Yeah yeah Yeah I want you like that', 'Yeah yeah Yeah I want you like that', 'Yeah yeah Yeah I want you like that', 'Yeah yeah Yeah I want you like that', 'Want you like that', 'Yeah yeah Yeah I want you like that']","['0', '1', '2', '5', '1', '3', '0', '1', '1', '2', '3', '2', '1', '1', '3', '3', '2', '1', '3', '1', '1', '1', '4', '5', '1', '1', '1', '1', '1', '1', '3', '2', '1', '1', '3', '3', '2', '1', '1', '1', '1', '1', '1', '1']"
7,Seeb(씨비),Would You Lie,"""Not sure there's anything more painful Than watching the love of your life move on There's nothing I can do to change it I know you're already too far gone I don't do it for you anymore I don't excite you not like I used to And I guess you're just runnin' out of love Oh I can't blame you but I gotta ask you Would you lie lie to me tonight? Bring me back to summer When your heart was mine Oh would you lie lie just for the night? Make it feel like we're not running out of time Would you lie? Would you lie? Would you lie? Would you lie? Would you lie? Would you lie? The hardest part is I still love you And God knows There's nowhere to change your mind oh I've played it a million times over I still don't know how I could be so blind I don't do it for you anymore I don't excite you not like I used to And I guess you're just runnin' out of love Oh I can't blame you but I gotta ask you You might also like Would you lie lie to me tonight? Bring me back to summer When your heart was mine Oh would you lie lie just for the night? Make it feel like we're not running out of time Would you lie? Would you lie? Would you lie? Would you lie? Would you lie? Would you lie? Lie lie to me tonight Bring me back to summer When your heart was mine Oh would you lie lie just for the night? Make it feel like we're not running out of time""",스트레스&짜증,2,1,"['""Not sure there\'s anything more painful""', '""Than watching the love of your life move on""', '""There\'s nothing I can do to change it""', '""I know you\'re already too far gone""', '""I don\'t do it for you anymore""', '""I don\'t excite you not like I used to""', '""And I guess you\'re just runnin\' out of love""', '""Oh I can\'t blame you but I gotta ask you""', '""Would you lie lie to me tonight?""', '""Bring me back to summer""', '""When your heart was mine""', '""Oh would you lie lie just for the night?""', '""Make it feel like we\'re not running out of time""', '""The hardest part is I still love you""', '""And God knows There\'s nowhere to change your mind""', '""Oh I\'ve played it a million times over""', '""I still don\'t know how I could be so blind""', '""You might also like""', '""Lie lie to me tonight""', '""Bring me back to summer""', '""When your heart was mine""', '""Oh would you lie lie just for the night?""', '""Make it feel like we\'re not running out of time""']","['슬픔(5)', '그리움(0)', '슬픔(5)', '슬픔(5)', '중립(6)', '외로움(4)', '슬픔(5)', '중립(6)', '사랑&기쁨(1)', '사랑&기쁨(1)', '사랑&기쁨(1)', '사랑&기쁨(1)', '사랑&기쁨(1)', '슬픔(5)', '슬픔(5)', '슬픔(5)', '슬픔(5)', '중립(6)', '사랑&기쁨(1)', '사랑&기쁨(1)', '사랑&기쁨(1)', '사랑&기쁨(1)', '사랑&기쁨(1)']"
8,Mimi Webb,Ghost of You,Seven days Since you went and found some space I tell myself 'i'm doin' great' And I'm not holdin' on So don't worry 'bout me I can keep myself busy At least it's how I make it seem Until the day is done Mornin' turns to evenin' Haven't even thought about you leavin' Swear to God I almost got this feelin' off my mind But every time the lights go out I see you there when you're not around Stuck in my head And I know you're gone But I still hold onto the ghost of you ooh ooh Every time I'm in the dark I feel you there like a shock to my heart Back from the dead Oh I know you're gone But I still hold onto the ghost of you Ghost of you I can't face somebody takin' you for Drinks and dates 'cause you know I wonder You know I wonder if it feels the same the same Mornin' turns to evenin' Haven't even thought about you leavin' Swear to God I almost got this feelin' off my mind But every time the lights go out I see you there when you're not around Stuck in my head And I know you're gone But I still hold onto the ghost of you ooh ooh Every time I'm in the dark I feel you there like a shock to my heart Back from the dead Oh I know you're gone But I still hold onto the ghost of you Ghost of you Yeah yeah yeah Ooh ooh Yeah yeah yeah Ooh ooh Yeah yeah yeah Oh I know you're gone But I still hold onto the ghost of you Ghost of you Yeah yeah yea',스트레스&짜증,2,1,"['Seven days', 'Since you went and found some space', ""I tell myself 'i'm doin' great'"", ""And I'm not holdin' on"", ""So don't worry 'bout me"", 'I can keep myself busy', ""At least it's how I make it seem"", 'Until the day is done', ""Mornin' turns to evenin'"", ""Haven't even thought about you leavin'"", ""Swear to God I almost got this feelin' off my mind"", 'But every time the lights go out', ""I see you there when you're not around"", 'Stuck in my head', ""And I know you're gone"", 'But I still hold onto the ghost of you', 'ooh ooh', ""Every time I'm in the dark"", 'I feel you there like a shock to my heart', 'Back from the dead', ""Oh I know you're gone"", 'But I still hold onto the ghost of you', 'Ghost of you', ""I can't face somebody takin' you for"", ""Drinks and dates 'cause you know I wonder"", 'You know I wonder if it feels the same the same', 'Yeah yeah yeah', 'Ooh ooh', ""Oh I know you're gone"", 'But I still hold onto the ghost of you', 'Ghost of you', ""Yeah yeah yea'""]","['6', '4', '1', '6', '6', '6', '6', '6', '6', '0', '5', '5', '0', '5', '5', '0', '6', '5', '2', '5', '5', '0', '5', '0', '0', '0', '1', '6', '5', '0', '5', '1']"
9,Charlie Puth(찰리 푸스),I Don’t Think That I Like Her,Get her name and get her number Find out all of the things that we have in common Never all the differences oh yeah Meet her parents meet her brother Then she starts sleepin' over the crib on weekends Like a real relationship oh no For me the stars are alignin' But for her it's bad timin' So she just can't be mine I don't think that I like her anymore Cause they're all the same All they wanna do is break my heart My heart (Oh oh) I don't think that I like her anymore Cause they're all the same They just wanna see me fall apart apart (Oh oh) So I hook up on a rebound And I say that I'm gonna be single for life But she's so pretty and nice (Pretty and nice) So I made just one exception But I find out eventually I'm not her type Baby that's the reason why that For me the stars are alignin' But for her it's bad timin' So she just can't be mine I don't think that I like her anymore (Yeah) Cause they're all the same All they wanna do is break my heart My heart (Oh oh) I don't think that I like her anymore (No) Cause they're all the same They just wanna see me fall apart apart (Oh oh) I'm tryin' not to be bitter But damn it I'll miss her 'Cause she's one of a kind (One of a kind) For me the stars are alignin' But for her it's bad timin' So she just can't be mine I don't think that I like her anymore Cause they're all the same All they wanna do is break my heart My heart (Oh oh) I don't think that I like her anymore Cause they're all the same They just wanna see me fall apart apart (Oh oh) Then we fall we fall fall fall apart now I don't think that I like her anymore Cause they're all the same They just wanna see me fall apart apart (Oh oh)',스트레스&짜증,2,1,"['Get her name and get her number', 'Find out all of the things that we have in common', 'Never all the differences oh yeah', 'Meet her parents meet her brother', ""Then she starts sleepin' over the crib on weekends"", 'Like a real relationship oh no', ""For me the stars are alignin'"", ""But for her it's bad timin'"", ""So she just can't be mine"", ""I don't think that I like her anymore"", ""Cause they're all the same"", 'All they wanna do is break my heart', 'My heart (Oh oh)', 'So I hook up on a rebound', ""And I say that I'm gonna be single for life"", ""But she's so pretty and nice (Pretty and nice)"", 'So I made just one exception', ""But I find out eventually I'm not her type"", ""Baby that's the reason why that"", ""I'm tryin' not to be bitter"", ""But damn it I'll miss her"", ""'Cause she's one of a kind (One of a kind)"", 'Then we fall we fall fall fall apart now', 'Then we fall we fall fall fall apart now', ""I don't think that I like her anymore"", ""Cause they're all the same"", 'They just wanna see me fall apart', 'Apart (Oh oh)']","['1', '6', '6', '1', '1', '3', '1', '5', '5', '5', '3', '5', '5', '1', '3', '1', '6', '5', '5', '6', '5', '1', '5', '5', '5', '3', '5', '5']"
