id,artist,song_name,lyric,Emotion,first_max,second_max
113,김사월,8월 밤의 고백,저는 그날 다 헤어졌기에 더 슬프진 않았어요 이미 그날 모든 눈물은 흘렸거든요 사월의 눈 8월의 밤 모두 지나쳐 갔기에 함께 있어 준 건 창밖의 연인과 어딘가 잘라 붙인듯한 별 하나 하나뿐이던 그 마음이 인파 속에 묻혀 버리는 게 얼마나 끔찍한지 당신도 아시죠 피할 수 없는 멈출 수도 없는 기나긴 터널이 얼마나 쓸쓸한지 당신도 아시죠 옷 속 끝까지 파고드는 한기를 견뎌야 하는 게 얼마나 쓸쓸한지 당신도 아시죠 아이 같았던 연인의 손을 놓고 뒤돌아가는 게 얼마나 끔찍한지 당신도 아시죠 저는 그날 다 헤어졌기에 더 슬프진 않았어요 이미 그날 모든 눈물은 흘렸거든요 사월의 눈 8월의 밤 모두 지나쳐 갔기에 함께 있어 준 건 창밖의 연인과 어딘가 잘라 붙인듯한 별 하나',그리움,5,4
431,가비엔제이(Gavy N.J.),가세요,가세요 가세요 걱정일랑 마세요 어떻게든 살아 볼께요 혹시라도 추억이 그대 발을 잡으면 언제든 돌아와 주면되요 정말 괜찮은데 왜 돌아보나요 그럼 내맘 약해지잖아요 떠나는 모습도 내눈엔 멋있잖아요 붙잡고 싶잖아요 가세요 가세요 걱정일랑 마세요 어떻게든 살아 볼께요 혹시라도 추억이 그대 발을 잡으면 언제든 돌아와 주면되요 안녕이란 말이 반가웠었는데 이제는 슬픈말이 됐네요 날 보며 웃었던 그대의 예쁜 얼굴도 이젠 볼수없네요 가세요 가세요 걱정일랑 마세요 어떻게든 살아 볼께요 혹시라도 추억이 그대 발을 잡으면 언제든 돌아와 주면되요 자꾸 점이 되어 가네요 그대 멀어져만 가네요 내눈이 멀어가죠 몇걸음도 못가 그리워졌다면 금새 달려와 나를 안아준다면 미워도 미워도 보고싶은 내사랑 사랑해 사랑해 이말 하고 가세요 내가 너무 불쌍하잖아 살아가다 힘들면 이말 기억할께요 그걸로 그댈 용서할께요 가세요 가세요 걱정일랑 마세요 어떻게든 살아 볼께요 혹시라도 추억이 그대 발을 잡으면 언제든 돌아와 주면되요',그리움,5,4
416,브로콜리너마저,사랑한다는 말로도 위로가 되지 않는,그런 날이 있어 그런 밤이 있어 말하지 아마도 말하지 않아도 조금은 이해할 수 있을 것 같다고 넌 말이 없었지만 그런 말이 있어 그런 마음이 있어 말하진 않았지 위로가 되기를 이런 말은 왠지 너를 그냥 지나쳐 버릴 것 같아서 정작 힘겨운 날엔 우린 전혀 상관없는 얘기만을 하지 정말 하고 싶었던 말도 난 할 수 없지만 사랑한다는 말로도 위로가 되지 않는 깊은 어둠에 빠져 있어 사랑한다는 말로도 위로가 되지 않는 정작 힘겨운 날엔 우린 전혀 상관없는 얘기만을 하지 정말 하고 싶었던 말도 난 할 수 없지만 사랑한다는 말로도 위로가 되지 않는 깊은 어둠에 빠져 있어 사랑한다는 말로도 위로가 되지 않는 사랑한다는 말로도 위로가 되지 않는',그리움,4,0
198,진동욱 CONNECT 아티스트,그리움,가끔씩 나도 몰래 생각나면 어쩌면 다시금 만나질 거라 착각하고 웃어봐요 한참을 그러다 보면 아주 잠시 동안은 다시 그때로 돌아간 것 같아요 어쩌면 그대도 똑같을까요? 이러다 또 생각나요 어쩔 수 없는가 봐요 원래 이게 전부 다 잘 지내나요? 가끔 그대가 미워지다가도 또 너무 보고 싶어 찬란했던 우리의 여름에 그대를 두고 온 탓에 지금 뒤늦은 사랑을 해요 그래서 나 곰곰이 생각해요 어쩌면 내 안에 다 있는지 몰라 눈을 감고 인사해요 날 보고 웃는 얼굴과 선명한 그 이름에 행복해져요 아니 슬퍼져요 모든 마지막은 왜 슬퍼야 할까요 행복했으면 해요 나 그리워하더라도 나는 그래요 별수 없는 것 같아 아직 그대가 너무 보고 싶어 찬란할까 나 없이 그대는? 나는 그대 없이도 못다 한 사랑을 해요 아주아주 오래전 아주 오래전만 같아 그대도 날 생각할까요?',그리움,0,4
14,반하나,한 여자가,뭐가 예쁠까 옷장 앞에 서있어 웬일일까 먼저 만나자는 전화 너무 반가워서 마음이 설레서 먼저 있던 약속 없다고 거짓말까지 했죠 한 여자가 그댈 보고 싶어 해 그 여잔 아무 말도 못 해도 그 사람 볼 수 있어 너무 좋대요 다른 사람 맘에 품고 있는 그 남자 눈에 예쁘려고 거울을 본대요 시간 지나면 혹시 나를 봐줄까 언젠가는 내 맘이 닿아 있을까 질투가 나지만 어쩔 수 없는 건 내가 사랑하니까 내 맘엔 오롯이 그대니까 한 여자가 그댈 보고 싶어 해 그 여잔 아무 말도 못 해도 그 사람 볼 수 있어 너무 좋대요 다른 사람 맘에 품고 있는 그 남자 눈에 예쁘려고 거울을 본대요 날 사랑하지 않는 그댈 혼자서 사랑 한다는 게 그저 행복할 순 없겠죠 그래서 매일 바래요 혹시 오늘이 아닐까 그대도 나를 좋아한다고 한 여자가 그댈 보고 있어요 그 여자 오늘은 말한대요 그대가 앞에 있어 너무 좋대요 다른 사람 잊지 못했어도 언젠간 내 옆에 오라고 한 여자가',그리움,2,1
393,폴킴(Paul Kim) CONNECT 아티스트,Star,I don’t know how we got this far 시작은 우연히 시간은 거센 파도처럼 한숨에 밀려와 또 어김없이 찾아드는 가을 낙엽 인사처럼 Sing with me Take my hand 이 순간을 기억해 줘 Forever You’re my 찬란하게 반짝이는 Star Star Star Sometimes it gets a lil tough 눈물도 아까운 순간들에 더 외로워 누군가 필요해 넌 내 마음을 흔들어놔 쏟아지는 빗물처럼 Your love is a blue will fade away 네 슬픔을 노래할게 Sing with me Take my hand 이 순간을 기억해 줘 Forever You’re my 찬란하게 반짝이는 Star 지나버린 순간에 아파하지 마 내가 있잖아 너의 허전함 내가 채워줄래 One day I'll be something 이 모습 아니더라도 Forever The light 눈 감으면 떠오를 거야 Star Star Star Star Star Star Star Star Star Star',그리움,2,1
7,길구봉구,아파,욕심이었던 걸까 나와는 다른 널 사랑한다는 게 언제나 환하게 웃던 사랑스럽던 그런 너를 착각이었던 걸까 내가 널 행복하게 만들 거란 게 어딘지 모를 아픔을 헤아릴 수 있을 것만 같은데 한 걸음에 그대에게 달려가 사랑한다고 단 한 번만 내게 와달라고 오지 않을 거란 걸 알면서 소리쳐봐도 아파 아파 아파 잊을 순 없을 거야 너와 함께했던 모든 순간들을 아무리 지우려 해도 몸부림쳐도 널 잊을 순 없을 거야 한 걸음에 그대에게 달려가 사랑한다고 단 한 번만 내게 와달라고 오지 않을 거란 걸 알면서 소리쳐봐도 아파 아파 아파 하염없이 같은 자리에 서서 나는 여전히 그곳에 서 있어 앞으로 나아갈 수도 뒤돌아 갈 수도 없이 하루 종일 너를 기다려 내 품 안에 널 꼭 안고서 사랑한다고 단 한 번만 내게 와달라고 오지 않을 거란 걸 알면서 소리쳐봐도 아파 아파',그리움,0,4
91,허회경,기어코 기어코,애정 어린 품을 원했었으니 아무개 품속에 들어가 앉았지요 이런 나를 당신은 꼭 기어코 기어코 뚫고 지나가나요 미움과 복수를 다짐했던 그날들 속에서 난 부지런히 사랑을 찾았어야 했나 저 멀리 있는 당신은 내가 가지지 못한대서 아 그렇게나 아름다워 보였나 이제 기억은 나만의 것이니 이제야 당신이 내 것이 되었지요 이런 생각 한다면 꼭 그것은 그것대로 기쁜 일이겠지요 당신의 어깨에 적셔진 내 갈증 보았대도 난 부지런히 울음을 삼켰어야 했나 한참이나 고민했던 그 편지의 색깔들은 아 이렇게나 중요하지 않았나',그리움,0,4
293,비비(BIBI),우리가 헤어져야 했던 이유,Maybe If I Woke up in the morning Hearing your voice Maybe If I was with you 어쩌면 우리 어려웠던 날들 함께 보냈었다면 혹시 우린 어땠을까 The distance between you and me It never seems to disappear 얼어붙은 나의 말들과 너 만약에 우리 우연히 다시 또 만난다면 만약에 내가 널 위해 조금 달라진다면 우리가 헤어져야만 했던 이유도 I would try try try 안아줄 수 있을까 조금은 다른 기억의 조각들 하지만 꼭 닮은 그리움의 마음들은 Only if you If you come The distance between you and me It never seems to disappear 멈춰버린 우리 추억과 너 만약에 우리 우연히 다시 또 만난다면 만약에 내가 널 위해 조금 달라진다면 우리가 헤어져야만 했던 이유도 I would try try try 안아줄 수 있을까 눈을 뜨면 혹시 니가 서 있을까 어느 날 상상도 했어 한 번도 내게 해주지 않았던 말 그저 너니까 좋은 거라고 oh Tell me whenever I'll be wherever you are Only if you come',그리움,0,2
273,B.A.P,대박사건 (Crash),말도 안 돼 정말 완벽해 숨이 가빠 이건 반칙인걸 너의 눈 그 입 그 모든 게 나의 마음을 다 흔들어 놓은걸 잊지 못할 그녀의 첫 느낌에 바보처럼 빼앗긴 맘 내 가슴이 고장난 것처럼 난 사랑에 불이 나고 심장만 쿵쾅 쿵쾅 뛰고 (또 뛰고) 제발 살려줘 you're my girl~ Help me help me help me 널 보면 숨이 가빠 Help me help me help me 널 보면 눈이 부셔 심장만 쿵쾅 쿵쾅 뛰고 널 찾고 Where you are~ 널 기다려 너너너 널 이제 만난 건 아 진짜 대박사건 아무리 봐도 널 알고 싶어 코난이 돼 내 마음모를껄 난 자꾸 널 생각해 걸 내 첫사랑도 잊게 했어 넌 계속 니가 가라고 해도 난 니가 다라고 말하고 말테야 Cause I Love You Girl 잊지 못할 그녀의 첫 느낌에 바보처럼 빼앗긴 맘 내 가슴이 고장난 것처럼 난 사랑에 불이 나고 심장만 쿵쾅 쿵쾅 뛰고(또 뛰고) 제발 살려줘 you're my girl~ Help me help me help me 널 보면 숨이 가빠 Help me help me help me 널 보면 눈이 부셔 심장만 쿵쾅 쿵쾅 뛰고 널 찾고 Where you are 널 기다려 나 나 나 나 나 나 나 나 나 나 나 나 나 나 나 나 나 나 나 나 나 ~ 나 나 나 나 나 나 나 나 나 나 ~ 나 나 나 나 나 잡힐듯 하다가도 멀어지는 그녀 나에게 부디 한번 기회를 제발 주렴 내 맘이 들린다면 대답해요 나에게~ 가슴이 고장난 것처럼 난 사랑에 불이 나고 심장만 쿵쾅 쿵쾅 뛰고(또 뛰고) 제발 살려줘 you're my girl~ Help me help me help me 널 보면 숨이 가빠 Help me help me help me 널 보면 눈이 부셔 심장만 쿵쾅 쿵쾅 뛰고 널 찾고 Where you are~ 널 기다려',그리움,2,1
