id,album_name,song_name,issue_date,year,lyrics
801,스페셜 (노래애미친남자+명품가요),어느 60대 노부부 이야기,20120914,2012,N/A
802,The Downward Spiral,Heresy,19940308,1994,"he sewed his eyes shut because he is afraid to see
he tries to tell me what i put inside of me
he's got the answers to ease my curiosity
he dreamed up a god and called it christianity
your god is dead and no one cares
if there is a hell i will see you there
he flexed his muscles to keep his flock of sheep in line
he made a virus that would kill off all the swine
his perfect kingdom of killing, suffering and pain
demands devotion atrocities done in his name
your god is dead and no one cares
drowning in his own hypocrisy
and if there is a hell i will see you there
burning with your god in humility
will you die for this?"
803,Tropical Lullaby,Kalua Lullaby,20040901,2004,N/A
804,Waiting For Benny - A Tribute To Benny Goodman,Stravinsky : 3 Pieces For Solo Clarinet - II. Quarter Note = 168 (스트라빈스키 : 클라리넷 독주를 위한 3개의 소품 - 2번),20130429,2013,N/A
805,EP1,Knew Better,20181116,2018,N/A
806,Last Finale,Jesus Love You (Feat. 이동원),20180813,2018,"예수를 왜 믿는거니
수많은 사람들 내게물을때
내가 할 한마디
예수를 왜 믿는거니
모두 비웃으며 내게 말할때
난 전하리
오 주
생명의 그이름
능치못하심이 없네
Jesus loves you
한없이 큰사랑
깊은상처 고쳤네
날마다 새 삶을 주셨네
Jesus loves you
네 맘을 지키고
항상너와 함께해
잊지마 언제나
Jesus loves you
교회는 왜 가는거니
수많은 친구들 내게 물을때
내가 할 한마디
교회는 왜 가는거니
한심한듯 하며 날 바라볼때
난 전하리
오 주
부활의 그 이름
영원한 생명 주셨네
Jesus loves you
한없이 큰사랑
깊은 상처 고쳤네
언제나 주님만 따르길 원해
온전히 주님만 날 쉬게해
Jesus loves you
네맘을 지키고
항상너와 함께해
잊지마 언제나
Only you
Jesus loves you
다른길은 없네
Only you
Jesus loves you
주만 따라가리
Always
No way
Jesus loves you
한없이 큰사랑
깊은 상처 고쳤네
언제나 주님만 따르길 원해
온전히 주님만 날 쉬게해
Jesus loves you
네맘을 지키고
항상너와 함께해
잊지마 언제나
Jesus loves you"
807,Rainy,Shiny Day (Feat. 여미),20081126,2008,N/A
808,Sesh,Talk My Shit,20190215,2019,N/A
809,Universe,The Alchemist,20170202,2017,"거울 속 내 모습 보다가
문득 내가 다른 사람 같아
나도 모르는 모습을 만들어
그 안에 난 누구일까
나 아닌 것에 맞추려다
서서히 잃어가는 것 같아
뭐가 진짜 나인지 모르겠어
무서워 내가 사라질까봐
No one's an alchemist
There is no alchemist
그 모든 게 나니까
우린 돌아오니까
우린 돌아오니까
밤하늘 별들을 보다가
이름 모를 공허함에 잠겨
살아가는 건 무언 갈 얻으려
잃어가는 과정일까
너무 많은 걸 바꾸려다
부질없는 일임을 또 느껴
정해진 건 움직이지 않는걸
알면서 잡아도 괜찮을까
No one's an alchemist
There is no alchemist
그 모든 게 나니까
우린 돌아오니까
우린 돌아오니까
지난 겨울 진 꽃이
오늘은 피겠지
어젯밤에 진달이
오늘도 뜨겠지
그 모든 게 나니까
우린 돌아올 거야
No one's an alchemist
There is no alchemist"
810,Piano Meditation Part.2,사랑해서 사랑에서,20160223,2016,N/A
811,우리동네 사람들 하나,우리 동네 사람들,19941200,1994,"하루종일 심심해
또 하루 지나도 마찬가지야
출근길 만원버스
창가자리로 서니
오늘도 만나는 심심한 눈빛들
그틈에 나 또한 그런 표정으로
차창밖 여자들만 세어본다

하루종일 심심해
또 하루 지나도 마찬가지야
그다지 다르지 않은
오늘 또 하루를
더 새로운 마음으로 시작해

점심시간 함께하는
똑같은 얼굴들
어제와 비슷한 이야기들
그렇게 서로를 확인하며
벌써 해는 서쪽으로 기울었다

기다리던 퇴근 시간
켜지는 가로등
오늘은 누구를 만날까
여기저기 전화벨을 울려봐도
지겨운 목소리만 들리네
들리네
하루종일 심심해
또 하루 지나도 마찬가지야
그다지 다르지 않은
오늘 또 하루를
더 새로운 마음으로 시작해

끝없이 흘러간 또 하루가
억울해 무작정 걷다보니
집에서 기다리는 식구들 모습
또 다른 또 하루로 날 떠미네

이제 노래도 지루해
또 불러보아도 마찬가지야
그래도 노래하면 덜 심심하니
더 새로운 마음으로 노래해"
