id,artist,song_name,lyric,Emotion,first_max,second_max,lines,senti
148,성인창 CONNECT 아티스트,편지 (With 최유리),지난날 우리의 모습을 그려본다 지난날 우리의 사랑을 그려본다 넌 나없이도 잘 살것같아서 자꾸만 망설여 지는것같아 날 위해 떠난다는 거짓스런말들로 날 혼자두고 그댄 어디있나요 그 무엇과도 바꿀수가 없었던 우리 사랑얘긴 대체 어디있나요 지난날 우리의 모습을 그려본다 지난날 우리의 사랑을 그려본다 나도 모르게 잊어갈것같아서 수백번 되뇌어 보는것 같아 날 위해 떠난다는 거짓스런말들로 날 혼자두고 그댄 어디있나요 그 무엇과도 바꿀수가 없었던 우리 사랑얘긴 대체 어디있나요 지난날 우리의 모습을 그려본다 지난날',그리움,0,1,"['우리의 사랑을 그려본다 ', '넌 나없이도 잘 살것같아서 ', '자꾸만 망설여 지는것같아 ', '날 위해 떠난다는 거짓스런말들로 날 혼자두고 ', '그댄 어디있나요 ', '그 무엇과도 바꿀수가 없었던 우리 사랑얘긴 대체 어디있나요 ', '지난날 우리의 모습을 그려본다 ', '지난날 우리의 사랑을 그려본다 ', '나도 모르게 잊어갈것같아서 ', '수백번 되뇌어 보는것 같아 ', '날 위해 떠난다는 거짓스런말들로 날 혼자두고 ', '그댄 어디있나요 ', '그 무엇과도 바꿀수가 없었던 우리 사랑얘긴 대체 어디있나요 ', '지난날 우리의 모습을 그려본다 ', '지난날 ']","[' 사랑&기쁨', ' 중립', ' 스트레스&짜증', ' 슬픔', ' 그리움', ' 그리움', ' 그리움', ' 사랑&기쁨', ' 중립', ' 스트레스&짜증', ' 슬픔', ' 그리움', ' 그리움', ' 그리움', ' 그리움']"
165,정다경,어느 60대 노부부 이야기 (Original VER.),곱고 희던 그 손으로 넥타이를 메어주던 때 어렴풋이 생각나오 여보 그 때를 기억하오 막내아들 대학 시험 뜬 눈으로 지내던 밤들 어렴풋이 생각나오 여보 그 때를 기억하오 세월은 그렇게 흘러 여기까지 왔는데 인생은 그렇게 흘러 황혼에 기우는데 큰 딸아이 결혼식 날 흘리던 눈물 방울이 이제는 모두 말라 여보 그 눈물을 기억하오 세월은 그렇게 흘러 여기까지 왔는데 인생은 그렇게 흘러 황혼에 기우는데 다시 못 올 그 먼 길을 어찌 혼자 가려하오 여기 날 홀로 두고 여보 왜 한마디 말이 없소 여보 왜 한마디 말이 없소 여보 안녕히 잘 가시게',그리움,5,0,"['곱고 희던 그 손으로 넥타이를 메어주던 때 ', '어렴풋이 생각나오 여보 그 때를 기억하오 ', '막내아들 대학 시험 뜬 눈으로 지내던 밤들 ', '어렴풋이 생각나오 여보 그 때를 기억하오 ', '세월은 그렇게 흘러 여기까지 왔는데 ', '인생은 그렇게 흘러 황혼에 기우는데 ', '큰 딸아이 결혼식 날 흘리던 눈물 방울이 이제는 모두 말라 ', '여보 그 눈물을 기억하오 ', '세월은 그렇게 흘러 여기까지 왔는데 ', '인생은 그렇게 흘러 황혼에 기우는데 ', '다시 못 올 그 먼 길을 어찌 혼자 가려하오 ', '여기 날 홀로 두고 여보 왜 한마디 말이 없소 ', '여보 왜 한마디 말이 없소 ', '여보 안녕히 잘 가시게 ']","[' 사랑&기쁨', ' 그리움', ' 스트레스&짜증', ' 그리움', ' 중립', ' 중립', ' 슬픔', ' 그리움', ' 중립', ' 중립', ' 외로움', ' 외로움', ' 외로움', ' 그리움']"
220,어쿠스틱 멜로디 (Acoustic Melody),우린 헤어져야 했을까 (Feat. Nuyh),헤어지자 말하고 몇 시간쯤 지났나 봐 내가 뱉은 마지막 말들에 상처받진 않았을까 하고 싶었던 말이 아직 너무 많이 남았지만 이제 와 그 모든 게 무슨 소용 있겠어 많은 변명 중에 또 하나일 뿐 그냥 이렇게 우린 헤어져야 했을까 서로 한 번 더 바라봤다면 우리 어제처럼 아무 일도 없이 늘 그래왔던 것처럼 그렇게 지낼 수 있었을까 다시 돌아가 볼까 이런 나를 너는 안아줄까 지나간 그 모든 게 벌써 너무 그리워 네가 없이 내가 살 수 있을까 그냥 이렇게 우린 헤어져야 했을까 서로 한 번 더 바라봤다면 우리 어제처럼 아무 일도 없이 늘 그래왔던 것처럼 그렇게 지낼 수 있었을까 잘 헤어진 것 같다가 너 없인 아무래도 안되겠더라 시간 지나면 괜찮아질 거란 말 아무래도 나는 아닌가 봐 그냥 이렇게 우린 헤어져야 했을까 서로 한 번 더 바라봤다면 우리 어제처럼 아무 일도 없이 늘 그래왔던 것처럼 그렇게 지낼 수 있었을까 그렇게 지낼 수 있었을까',그리움,4,0,"['헤어지자 말하고 몇 시간쯤 지났나 봐 ', '내가 뱉은 마지막 말들에 상처받진 않았을까 하고 싶었던 말이 아직 너무 많이 남았지만 ', '이제 와 그 모든 게 무슨 소용 있겠어 ', '많은 변명 중에 또 하나일 뿐 ', '그냥 이렇게 우린 헤어져야 했을까 ', '서로 한 번 더 바라봤다면 우리 어제처럼 아무 일도 없이 늘 그래왔던 것처럼 ', '그렇게 지낼 수 있었을까 ', '다시 돌아가 볼까 이런 나를 너는 안아줄까 ', '지나간 그 모든 게 벌써 너무 그리워 ', '네가 없이 내가 살 수 있을까 ', '잘 헤어진 것 같다가 너 없인 아무래도 안되겠더라 ', '시간 지나면 괜찮아질 거란 말 아무래도 나는 아닌가 봐 ', '그렇게 지낼 수 있었을까 ', '그렇게 지낼 수 있었을까 ']","[' 중립', ' 그리움', ' 중립', ' 중립', ' 중립', ' 그리움', ' 중립', ' 사랑&기쁨', ' 그리움', ' 그리움', ' 슬픔', ' 중립', ' 중립', ' 중립']"
34,유재하,사랑하기 때문에,처음 느낀 그대 눈빛은 혼자만의 오해였던가요 해맑은 미소로 나를 바보로 만들었소 내 곁을 떠나가던 날 가슴에 품었던 분홍빛의 수많은 추억들이 푸르게 바래졌소 어제는 떠난 그대를 잊지 못하는 내가 미웠죠 하지만 이젠 깨달아요 그대만의 나였음을 다시 돌아온 그댈 위해 내 모든 것 드릴 테요 우리 이대로 영원히 헤어지지 않으리 나 오직 그대만을 사랑하기 때문에 커다란 그대를 향해 작아져만 가는 나이기에 그 무슨 뜻이라 해도 조용히 따르리오 어제는 지난 추억을 잊지 못하는 내가 미웠죠 하지만 이제 깨달아요 그대만에 나였음을 다시 돌아온 그댈 위해 내 모든 것 드릴 테요 우리 이대로 영원히 헤어지지 않으리 나 오직 그대만을 사랑하기 때문에 사랑하기 때문에',그리움,0,4,"['처음 느낀 그대 눈빛은 혼자만의 오해였던가요 ', '해맑은 미소로 나를 바보로 만들었소 ', '내 곁을 떠나가던 날 가슴에 품었던 분홍빛의 수많은 추억들이 푸르게 바래졌소 ', '어제는 떠난 그대를 잊지 못하는 내가 미웠죠 ', '하지만 이젠 깨달아요 그대만의 나였음을 ', '다시 돌아온 그댈 위해 내 모든 것 드릴 테요 ', '우리 이대로 영원히 헤어지지 않으리 ', '나 오직 그대만을 사랑하기 때문에 ', '커다란 그대를 향해 작아져만 가는 나이기에 ', '그 무슨 뜻이라 해도 조용히 따르리오 ', '어제는 지난 추억을 잊지 못하는 내가 미웠죠 ', '하지만 이제 깨달아요 그대만에 나였음을 ', '다시 돌아온 그댈 위해 내 모든 것 드릴 테요 ', '우리 이대로 영원히 헤어지지 않으리 ', '나 오직 그대만을 사랑하기 때문에 ', '사랑하기 때문에 ']","[' 중립', ' 사랑&기쁨', ' 그리움', ' 슬픔', ' 사랑&기쁨', ' 사랑&기쁨', ' 사랑&기쁨', ' 사랑&기쁨', ' 그리움', ' 중립', ' 슬픔', ' 사랑&기쁨', ' 사랑&기쁨', ' 사랑&기쁨', ' 사랑&기쁨', ' 사랑&기쁨']"
88,토이(Toy),그녀가 말했다 (With 권진아),새 옷을 사고 종일 tv를 켜놔도 자꾸만 멍하니 전화만 보네요 친굴 만나고 애써 아닌 척 밝게 웃어도 점점 난 약해져 가요 너무 잘라 우스워진 머릴 보며 다 터 버린 입술 보며 그댈 생각해 나 그댈 미워해 나 그댈 좋아해 내가 없는 하루 아무렇지도 않나요 나는요 나는요 그댈 좋아해요 왜 그댄 나와 같은 맘 아닌가요 나 없이 나 없이 잘 지내지 말아요 행복하게 지내란 그 말 난 싫어요 마지막 표정 우리 함께 한 긴 날들보다 많은 걸 얘기했어요 라디오에서 흐르는 노래 속에 늘 함께 걷던 거리에 그대가 들려 나 그대가 보여 나 그댈 기다려 이런 날 아나요 그댄 내 생각하나요 나는요 나는요 그댈 좋아해요 왜 그댄 나와 같은 맘 아닌가요 나 없이 나 없이 잘 지내지 말아요 행복하게 지내란 그 말 싫어 다시는 다시는 못 볼 것만 같아 꼭 마지막 인사 같아 잘 지내지 마요',그리움,0,4,"['새 옷을 사고 ', '종일 tv를 켜놔도 자꾸만 멍하니 전화만 보네요 ', '친굴 만나고 애써 아닌 척 밝게 웃어도 ', '점점 난 약해져 가요 ', '너무 잘라 우스워진 머릴 보며 ', '다 터 버린 입술 보며 그댈 생각해 ', '나 그댈 미워해 ', '나 그댈 좋아해 ', '내가 없는 하루 아무렇지도 않나요 ', '나는요 나는요 그댈 좋아해요 ', '왜 그댄 나와 같은 맘 아닌가요 ', '나 없이 나 없이 잘 지내지 말아요 ', '행복하게 지내란 그 말 난 싫어요 ', '마지막 표정 ', '우리 함께 한 긴 날들보다 많은 걸 얘기했어요 ', '라디오에서 흐르는 노래 속에 늘 함께 걷던 거리에 그대가 들려 ', '나 그대가 보여 ', '나 그댈 기다려 ', '이런 날 아나요 ', '그댄 내 생각하나요 ', '나는요 나는요 그댈 좋아해요 ', '왜 그댄 나와 같은 맘 아닌가요 ', '나 없이 나 없이 잘 지내지 말아요 ', '행복하게 지내란 그 말 싫어 ', '다시는 다시는 못 볼 것만 같아 ', '꼭 마지막 인사 같아 ', '잘 지내지 마요 ']","[' 사랑&기쁨', ' 외로움', ' 중립', ' 슬픔', ' 스트레스&짜증', ' 그리움', ' 슬픔', ' 사랑&기쁨', ' 외로움', ' 사랑&기쁨', ' 그리움', ' 그리움', ' 스트레스&짜증', ' 슬픔', ' 그리움', ' 그리움', ' 설렘&심쿵', ' 그리움', ' 설렘&심쿵', ' 사랑&기쁨', ' 사랑&기쁨', ' 그리움', ' 그리움', ' 스트레스&짜증', ' 그리움', ' 슬픔', ' 그리움']"
114,버둥,낙수,많은 사랑을 받은 사람이 쏟아내는 몸에 밴 사랑이 나의 어깨에 닿아도 사실 뭔가 해결되는 게 없고 내가 원하는 것은 절대로 너에게서 찾을 수 없는데 빛나는 너의 얼굴을 향해 구해주세요 하고 외치지만 집으로 돌아가 쓸쓸히 혼자서 걸어가 외롭게 어서 익숙해져야 괜히 시간낭비 하지 않을 텐데 많이 버림받았던 사람이 뱉어내는 몸에 밴 걱정이 나의 품안에 녹아도 사실 뭔가 나아지는 건 없고 네가 원하는 것은 절대로 나에게서 찾을 수 없는데 찡그린 너의 얼굴을 보고도 도와줄까요 마저 주저하며 집으로 돌아가 쓸쓸히 혼자서 걸어가 외롭게 어서 익숙해져야 괜히 시간낭비 하지 않을 텐데 미래로 걸어가 쓸쓸히',그리움,4,0,"['많은 사랑을 받은 사람이 쏟아내는 몸에 밴 사랑이 나의 어깨에 닿아도 ', '사실 뭔가 해결되는 게 없고 내가 원하는 것은 절대로 너에게서 찾을 수 없는데 ', '빛나는 너의 얼굴을 향해 구해주세요 하고 외치지만 ', '집으로 돌아가 쓸쓸히 혼자서 걸어가 외롭게 어서 익숙해져야 ', '괜히 시간낭비 하지 않을 텐데 ', '많이 버림받았던 사람이 뱉어내는 몸에 밴 걱정이 나의 품안에 녹아도 ', '사실 뭔가 나아지는 건 없고 네가 원하는 것은 절대로 나에게서 찾을 수 없는데 ', '찡그린 너의 얼굴을 보고도 도와줄까요 마저 주저하며 ', '집으로 돌아가 쓸쓸히 혼자서 걸어가 외롭게 어서 익숙해져야 ', '괜히 시간낭비 하지 않을 텐데 ', '미래로 걸어가 쓸쓸히 ']","[' 사랑&기쁨', ' 그리움', ' 사랑&기쁨', ' 외로움', ' 중립', ' 슬픔', ' 그리움', ' 스트레스&짜증', ' 외로움', ' 중립', ' 중립']"
392,조은(Cho Eun),우리가 좋아했던 계절이 오고 있어,소란한 마음이 흩어지는 밤 시간이 무뎌진 하루 끝 숨 쉴 때마다 아련한 그날 선명하게 생각나 계절도 널 따라간 걸까 내겐 모든 게 다 멈춰버린 걸 웃어주던 네 모습 이젠 볼 수가 없어 지나간 추억만이 남아서 네가 떠나가던 날 멀어지던 널 여전히 잊을 수 없어 그댈 지친 맘을 덮어 따스히 널 안아줬다면 곁에 있을 텐데 여전히 넌 하루도 멈출 수 없는 그리움 한참을 반대로 걸어도 잊혀질 리 없잖아 괜찮을 수 없잖아 지나간 추억만이 남아서 네가 떠나가던 날 멀어지던 널 여전히 잊을 수 없어 그댈 지친 맘을 덮어 따스히 널 안아줬다면 그랬었다면 여전히 넌 더 선명하게 남아서 지우지도 못할 흉터처럼 아파서 더 멀리 가지도 못해 이 길 끝에 너를 볼 수도 없어 매일 똑같은 하루 똑같이 살아 여전히 그리운 사람 너야 돌아서던 그때 달려가 널 안아줬다면 곁에 있었을까 그래도 넌',그리움,0,4,"['소란한 마음이 흩어지는 밤 ', '시간이 무뎌진 하루 끝 ', '숨 쉴 때마다 아련한 그날 선명하게 생각나 ', '계절도 널 따라간 걸까 ', '내겐 모든 게 다 멈춰버린 걸 ', '웃어주던 네 모습 이젠 볼 수가 없어 ', '지나간 추억만이 남아서 ', '네가 떠나가던 날 멀어지던 널 ', '여전히 잊을 수 없어 ', '그댈 지친 맘을 덮어 따스히 널 안아줬다면 ', '곁에 있을 텐데 ', '여전히 넌 하루도 멈출 수 없는 그리움 ', '한참을 반대로 걸어도 잊혀질 리 없잖아 ', '괜찮을 수 없잖아 ', '지나간 추억만이 남아서 ', '네가 떠나가던 날 멀어지던 널 ', '여전히 잊을 수 없어 ', '그댈 지친 맘을 덮어 따스히 널 안아줬다면 ', '그랬었다면 ', '여전히 넌 더 선명하게 남아서 ', '지우지도 못할 흉터처럼 아파서 ', '더 멀리 가지도 못해 ', '이 길 끝에 너를 볼 수도 없어 ', '매일 똑같은 하루 똑같이 살아 ', '여전히 그리운 사람 너야 ', '돌아서던 그때 달려가 널 안아줬다면 ', '곁에 있었을까 ', '그래도 넌 ']","[' 슬픔', ' 중립', ' 그리움', ' 그리움', ' 슬픔', ' 슬픔', ' 그리움', ' 그리움', ' 그리움', ' 사랑&기쁨', ' 사랑&기쁨', ' 그리움', ' 그리움', ' 슬픔', ' 그리움', ' 그리움', ' 그리움', ' 사랑&기쁨', ' 사랑&기쁨', ' 그리움', ' 슬픔', ' 외로움', ' 외로움', ' 중립', ' 그리움', ' 사랑&기쁨', ' 사랑&기쁨', ' 중립']"
17,성시경,우리 한 때 사랑한 건,애써 담담히 마주 앉은 그때 이미 나는 모두 알고 있던 것 같아 마음은 말보다 늘 조금 빠르고 모르겠니 내가 너를 다음은 없을지 몰라 미안하단 말 잘 지내라는 말 꺼내기가 듣기보다 아팠을 텐데 오늘이 지나고 또 오늘이 온대도 난 여전히 널 놓치겠지만 적어도 눈부시던 시절 그 가운데 함께였다는 건 생각만으로도 가슴 저릿하게 사랑했던 건 반짝이는 전부였던 건 잊지마 우리 한 때 그랬던 건 고마웠단 말 괜찮을 거란 말 사랑 뒤에 숨어있던 슬픈 인사들 설레던 시작이 조금씩 닳고 닳아 사라지는 걸 몰랐었나 봐 안녕히 더 이상은 내가 너의 아무것도 아니래도 추억만으로는 무엇 하나 달라질 수 없대도 잠시 사랑했던 너와 나 적어도 우리 잊지 않기로 해 그러기로 해 사계절이 다 우리 둘을 지울 때까지 눈부시던 시절 그 가운데 함께였다는 건 생각만으로도 가슴 저릿하게 서로 안았던 건 반짝이는 전부였던 건 적어도 우리 한 때 사랑한 건',그리움,0,1,"['애써 담담히 마주 앉은 그때 이미 나는 모두 알고 있던 것 같아 ', '마음은 말보다 늘 조금 빠르고 ', '모르겠니 내가 너를 다음은 없을지 몰라 ', '미안하단 말 잘 지내라는 말 꺼내기가 듣기보다 아팠을 텐데 ', '오늘이 지나고 또 오늘이 온대도 난 여전히 널 놓치겠지만 ', '적어도 눈부시던 시절 그 가운데 함께였다는 건 생각만으로도 가슴 저릿하게 ', '사랑했던 건 반짝이는 전부였던 건 잊지마 ', '우리 한 때 그랬던 건 고마웠단 말 ', '괜찮을 거란 말 ', '사랑 뒤에 숨어있던 슬픈 인사들 ', '설레던 시작이 조금씩 닳고 닳아 사라지는 걸 몰랐었나 봐 ', '안녕히 더 이상은 내가 너의 아무것도 아니래도 ', '추억만으로는 무엇 하나 달라질 수 없대도 ', '잠시 사랑했던 너와 나 ', '적어도 우리 잊지 않기로 해 ', '사계절이 다 우리 둘을 지울 때까지 ', '눈부시던 시절 그 가운데 함께였다는 건 생각만으로도 가슴 저릿하게 ', '서로 안았던 건 반짝이는 전부였던 건 ', '적어도 우리 한 때 사랑한 건 ']","[' 중립', ' 설렘&심쿵', ' 그리움', ' 슬픔', ' 그리움', ' 사랑&기쁨', ' 사랑&기쁨', ' 사랑&기쁨', ' 중립', ' 슬픔', ' 슬픔', ' 중립', ' 그리움', ' 사랑&기쁨', ' 그리움', ' 그리움', ' 사랑&기쁨', ' 사랑&기쁨', ' 사랑&기쁨']"
232,5 Seconds Of Summer(파이브 세컨즈 오브 썸머),High,"Check two I hope you think of me high I hope you think of me highly When you're with someone else I know your friends all lie I know your friends don't like me They want you for themselves Today I called to tell you that I'm changing But I don't think you have enough Respect to see me try I've been waking up in different spaces And I think that my heart is built to Last more than a night I need to stop letting me down Down down down down I need to stop letting me down Down down down down I hope you think of me high I hope you think of me highly When you're with someone else I know your friends all lie I know your friends don't like me They want you for themselves I know I'll never meet your expectations (Ah ah) But the picture that you paint of me Looks better in your mind Now every step I take with hesitation (Ah ah) And I'll always miss the memories Of the mornings we were high I need to stop letting me down Down down down down I need to stop letting me down Down down down down I hope you think of me high I hope you think of me highly When you're with someone else I know your friends all lie I know your friends don't like me They want you for themselves Da da da da da da da da When you're with someone else Da da da da da da da da They want you for themselves I hope you think of me high I hope you think of me highly When you're with someone else""",그리움,2,1,"['Check two ', 'I hope you think of me high ', 'I hope you think of me highly ', ""When you're with someone else "", 'I know your friends all lie ', ""I know your friends don't like me "", 'They want you for themselves ', ""Today I called to tell you that I'm changing "", ""But I don't think you have enough respect to see me try "", ""I've been waking up in different spaces "", 'And I think that my heart is built to last more than a night ', 'I need to stop letting me down ', 'I hope you think of me high ', 'I hope you think of me highly ', ""When you're with someone else "", 'I know your friends all lie ', ""I know your friends don't like me "", 'They want you for themselves ', ""I know I'll never meet your expectations "", 'But the picture that you paint of me looks better in your mind ', 'Now every step I take with hesitation ', ""And I'll always miss the memories of the mornings we were high "", 'I need to stop letting me down ', 'I hope you think of me high ', 'I hope you think of me highly ', ""When you're with someone else "", 'I know your friends all lie ', ""I know your friends don't like me "", 'They want you for themselves ', 'Da da da da da da da da ', ""When you're with someone else "", 'Da da da da da da da da ', 'They want you for themselves ', 'I hope you think of me high ', 'I hope you think of me highly ', ""When you're with someone else ""]","[' 중립', ' 그리움', ' 그리움', ' 외로움', ' 스트레스&짜증', ' 스트레스&짜증', ' 스트레스&짜증', ' 중립', ' 스트레스&짜증', ' 중립', ' 그리움', ' 스트레스&짜증', ' 그리움', ' 그리움', ' 외로움', ' 스트레스&짜증', ' 스트레스&짜증', ' 스트레스&짜증', ' 스트레스&짜증', ' 스트레스&짜증', ' 스트레스&짜증', ' 그리움', ' 스트레스&짜증', ' 그리움', ' 그리움', ' 외로움', ' 스트레스&짜증', ' 스트레스&짜증', ' 스트레스&짜증', ' 중립', ' 외로움', ' 중립', ' 스트레스&짜증', ' 그리움', ' 그리움', ' 외로움']"
92,윤하(Younha/ユンナ),WINTER FLOWER(雪中梅)(Feat.RM),시린 겨울바람 깊은 발자국 아래 홀로 피어나 내가 태어나고 널 만난 이유를 찾아서 헤매어 하얗게 번지는 한숨은 얼어붙은 눈물 버려진 꿈들은 다른 상처를 낳고 이 계절의 끝이 어딜까 영원이 있다면 Hold on hold on hold on I will take it away before you stumble I will stay by your side until you survive 피어나 주기를 난 왜 널 만난 걸까 하필 바로 지금 여기 이 겨울날 눈 감으면 봄은 아득하고 여긴 찬 숨만 가득한데 모진 겨울 네가 흘렸던 피에서 빨갛게 나는 태어났지 설중매 동백 수선화 그래 날 뭐라고 불러도 좋아 They say life is full of paradox All you gotta do is gettin' Used to this marathon 세상은 너에게만 모질까? 누구나 힘들다 어른이 된 네게 그 말은 못 되네 위로가 똑바로 들어 겨울아 네가 날 피운 거야 나 이제 내 가지로 파란 향을 피울 거야 내가 알려줄게 다른 하늘이 있음을 힘껏 불러올게 너를 닮았던 가을을 하얗게 번지는 불빛은 얼어붙은 태양 가려진 달처럼 아직 존재해도 기다림에 끝은 어딜까 시작이 있다면 Hold on hold on hold on I will take it away before you stumble I will stay by your side until you survive 피어나 주기를 네 온기 잊지 않아 겨울의 꽃이 되어 춤추는 별이 되어 I will be by your side I'm with you I will take it away before you stumble I will stay by your side until you survive 피어나길 바래 피어나길 바래 피어나길 바래 피어나길 바래 피어나길 바래',그리움,5,3,"['시린 겨울바람 깊은 발자국 아래 홀로 피어나 ', '내가 태어나고 널 만난 이유를 찾아서 헤매어 ', '하얗게 번지는 한숨은 얼어붙은 눈물 ', '버려진 꿈들은 다른 상처를 낳고 ', '이 계절의 끝이 어딜까 ', '영원이 있다면 Hold on hold on hold on ', 'I will take it away before you stumble ', 'I will stay by your side until you survive ', '피어나 주기를 난 왜 널 만난 걸까 ', '하필 바로 지금 여기 이 겨울날 ', '눈 감으면 봄은 아득하고 ', '여긴 찬 숨만 가득한데 ', '모진 겨울 네가 흘렸던 피에서 빨갛게 나는 태어났지 ', '설중매 동백 수선화 ', '그래 날 뭐라고 불러도 좋아 ', 'They say life is full of paradox ', ""All you gotta do is gettin' Used to this marathon "", '세상은 너에게만 모질까? ', '누구나 힘들다 어른이 된 네게 그 말은 못 되네 ', '위로가 똑바로 들어 겨울아 네가 날 피운 거야 ', '나 이제 내 가지로 파란 향을 피울 거야 ', '내가 알려줄게 다른 하늘이 있음을 ', '힘껏 불러올게 너를 닮았던 가을을 ', '하얗게 번지는 불빛은 얼어붙은 태양 ', '가려진 달처럼 아직 존재해도 ', '기다림에 끝은 어딜까 ', '시작이 있다면 Hold on hold on hold on ', 'I will take it away before you stumble ', 'I will stay by your side until you survive ', '피어나길 바래 피어나길 바래 피어나길 바래 피어나길 바래 피어나길 바래 ']","[' 외로움', ' 그리움', ' 슬픔', ' 슬픔', ' 그리움', ' 중립', ' 중립', ' 사랑&기쁨', ' 설렘&심쿵', ' 외로움', ' 그리움', ' 외로움', ' 슬픔', ' 사랑&기쁨', ' 중립', ' 중립', ' 중립', ' 중립', ' 스트레스&짜증', ' 사랑&기쁨', ' 사랑&기쁨', ' 그리움', ' 그리움', ' 슬픔', ' 그리움', ' 그리움', ' 중립', ' 중립', ' 사랑&기쁨', ' 사랑&기쁨']"
