id,artist,song_name,lyric,Emotion,first_max,second_max
0,Aden (에이든),ROA,"Always on my mind 난 자꾸 네가 떠오르곤 해 알고 싶은 게 많아 너에 대해서 넌 지금 누굴 생각하고 있어 가볍게 던지는 말들에 의미부여하고 괜히 혼자 설레서 또 아무 말 못 하고 날 가지고 놀아 또 들었다 놨다 Make me feel so right oh 네 곁에 있고 싶어 특별하고 싶어 365일 내가 네 자랑이고 싶어 You're always on my mind But nothin's gonna matter if you never hit the room yeah Girl I'll be waiting for you Feels like I'm the one yeah Got me trippin' on your mind yeah I'm feeling butterflies with your smile Feels like I'm the one yeah Girl I would never let you down Babe all the things you do just got me Swimmin' in your eyes yeah Oh Roa Roa Roa I could be the one to love ya love ya love ya Oh Roa Roa Roa Know you're feeling it girl Don't lie don't lie don't lie Roa 내게 말해줘 너도 같은 생각 한다고 너와 내가 밤새껏 주고받던 말이 진심이라고 너의 눈빛에 나오지 못해 나를 닮은 듯한 그런 느낌의 fashion에 또 배여있어 네 귀여운 행동에 빠져버렸어 너 없인 모두 무채색 널 만나면 마치 강아지처럼 기분이 들떠 있지 시키는 대로 다 해줄게 원한다면 교육해도 돼 주입식 Need you on my side 내 옆으로 와 숨기지 못할 것 같아 더 이상 또 어린애 같아 내 손을 꽉 잡아줘 Falling for you girl would you let me Be your sweet Now baby tell me 어떤지 Baby Feel like I'm the one 이제 그만 내게 다가와 줄래 babe 더 사랑해 줄게 Feels like I'm the one yeah Got me trippin' on your mind yeah I'm feeling butterflies with your smile Feels like I'm the one yeah Girl I would never let you down Babe all the things you do just got me Swimmin' in your eyes yeah Oh Roa Roa Roa I could be the one to love ya love ya love ya Oh Roa Roa Roa Know you're feeling it girl Don't lie don't lie don't lie""",설렘&심쿵,2,1
1,dori,Girlfriend,Girlfriend is on the car We good say the lie You push 오늘만 You talk 나를 오빠라고 Girlfriend is on the party We should say the love You push 오늘만 You talk 나를 오빠야 둘이서 바로 We can 둘이 서봐도 We good You need somebody I wish you yeah 꿈에서 봐도 We can 둘이서 바로 We good You need somebody I wish you Say Cause you Dance Shoot the movie Oh When she's got them movin' Oh We got the movie Oh Yeah This talk about Dance Shoot the movie Oh When she's got them movin' Oh We got the movie Oh Yeah Girlfriend is under party We good say the lie You push 오늘만 You talk 나를 오빠라고 Girlfriend is on the car We should say the love You push 오늘만 You talk 나를 오빠야 둘이서 바로 We can 둘이 서봐도 We good You need somebody I wish you yeah 꿈에서 봐도 We can 둘이서 바로 We good You need somebody I wish you Say Cause you Dance Shoot the movie Oh When she's got them movin' Oh We got the movie Oh Yeah This talk about Dance Shoot the movie Oh When she's got them movin' Oh We got the movie Oh Yeah Cause you Dance Shoot the movie Oh When she's got them movin' Oh We got the movie Oh Yeah This talk about Dance Shoot the movie Oh When she's got them movin' Oh We got the movie Oh Yeah Girlfriend is on the party We good say the lie You push 오늘만 You talk 나를 오빠라고',설렘&심쿵,2,1
2,Sweet The Kid,천천히,우리 매번 같은 시간에 있다는 거 시간을 보면 네가 내 안에 그려져 같이 있어도 너만 생각할게 take the time you been on mind on mind 우리의 여행을 기다리면 늦게 가 너와 마주 보면 다시 또 빨리 가 (what time is it?) 널 만나고 나의 모습은 온전히 진심으로 채워져 지금 흘러간 1초도 조금만 천천히 (이 시간 천천히) 이제는 맘 편히 we should sunset swimming 나 너무 행복해 텅 빈 시간엔 내 맘은 가득 지금 너의 목소리로 전부 채워져 uh 오늘 밤은 소리에만 집중 like ATC 시간이 벌써 이렇게 no 우리의 여행을 기다리면 늦게 가 너와 마주 보면 다시 또 빨리 가 (what time is it?) 널 만나고 나의 모습은 온전히 진심으로 채워져 지금 흘러간 1초도 조금만 천천히 (이 시간 천천히) 이제는 맘 편히 we should sunset swimming 나 너무 행복해 일어나면 꿈을 꿔 when i look at rose 내 옆에 있어줘 물은 내가 줄게 마음껏 약속해 i swear 나눠줘 너의 시간 다가올 이 시간은 천천히 조금만 천천히 이제는 맘 편히 (이제는 맘 편히) we should sunset swimming 나 너무 행복해 조금만 천천히 이제는 맘 편히 we should sunset swimming 나 너무 행복해',설렘&심쿵,2,0
3,HAAN,Chance (Feat. Peakboy (픽보이)),말로 설명 못해 이 감정은 더욱더 이야기는 참 길고 설명이 더 필요해져 인생엔 기회가 딱 열 번이라면 고민 없이 너에게 열번 다 쓰고 싶을 정도야 따스한 햇살 시원한 바람 불면 오후에는 낮잠 그거면 됐는데 따스한 햇살 시원한 바람 불면 기다렸단 듯이 널 마음에 담고 있어 저 하늘의 별들 그 사이로 떴던 달도 괜히 더 새로워져 다행이지 Everything is bright 태연하게 점점 표현하게 돼 점점 더 정신없이 굴어도 다행이지 매일 너에게 말하고 싶어 일개미처럼 runnin and runnin' 일에 미쳐선 나에겐 머리 식힐 거리 따윈 없었고 사회적 거리를 두었어 그런 날 일깨우고 햇살이 좋다며 말해주고 맘 편히 모든 것은 paid off 잊지 못해 그때의 기억을 아침에 또 생각해도 니 생각에 잠을 오늘도 설치고 있어 내 타이밍은 좀 달라도 내 기회를 네게 줄게 어딜가도 내 맘속엔 너 뿐인데 저 하늘의 별들 그 사이로 떴던 달도 괜히 더 새로워져 다행이지 Everything is bright 태연하게 점점 표현하게 돼 점점 더 정신없이 굴어도 다행이지 매일 너에게 말하고 싶어 괜히 더 새로워져 다행이지 Everything is bright 태연하게 점점 표현하게 돼 점점 더 정신없이 굴어도 다행이지 매일 말하고 싶어',설렘&심쿵,2,0
4,그리즐리 (Grizzly),Beige coat,Let’s go drive 어서 나와 오늘은 어디로 떠날까 집 앞이야 바로 나와 Beige coat 보이면 나야 눈을 떠보니 벌써 시간이 됐어 멋진 옷을 고르고 Wake up babe 잠든 널 깨우고서 하루 종일 나 Say la la la every time 나도 이렇게 될 줄은 꿈에도 몰랐었어 Look at my eyes 지금 나와 나 다 와가 5분 뒤에 도착해 어디 갈까 넓은 바다 하고 싶은 게 있으면 말만 해 넌 네가 얼마나 예쁜지 몰라서 다른 남자들이 쳐다봐도 넌 아무것도 모르고 있어 아무것도 모르고 있어 Baby sorry 나 좀 늦었지 가까운 빵집에 들렀어 뭐 할래 영화 보러 갈까 너라면 다 nothing at all Maybe 여태까지 이런 적이 없는데 널 만나기 전 왜 이렇게 떨리는데 Let’s go drive 집 앞이야 Beige coat 보이면 나야 어디든 상관없어 내 옆에 타 좋아하는 걸로 틀어줘 음악 네가 옆에 있어 집중이 안 돼 너의 취향 아니 모든 게 궁금해 알고 싶어 네가 좋아하는 향 담엔 미리 준비할게 난 tea 넌 아아 내 오른손과 네 왼손 끄떡없을 거야 right Baby sorry 나 좀 늦었지 가까운 빵집에 들렀어 뭐 할래 영화 보러 갈까 너라면 다 nothing at all Maybe 여태까지 이런 적이 없는데 널 만나기 전 왜 이렇게 떨리는데 Let’s go drive 집 앞이야 Beige coat 보이면 나야 I’m wearing beige beige beige coat I’m wearing beige beige beige coat Maybe 여태까지 이런 적이 없는데 널 만나기 전 왜 이렇게 떨리는데 Let’s go drive 집 앞이야 Beige coat 보이면 나야',설렘&심쿵,2,0
5,Jimmy Brown,따뜻한 물,너는 하루의 끝에 따뜻한 물 휴식을 맘에 얹어 난 너를 마신 듯 온기가 닿으면 널 생각해 온기가 닿으면 널 생각해 너는 하루의 끝에 따뜻한 물 매일 네게 차를 건네 내 마음을 전하 듯 온기가 닿으면 널 생각해 Been always on my mind 널 내안에 Babe I wanna make love to you 이젠 내가 하는 네 말투 분홍잔의 여유는 마음으로 내가 제일 자주 하는 말 Come thru 편히 At your pace 너와 나란히 Got a little space에 널 가만히 Goofy it be nice Add a lil spice No I dont need nobody else but you You dont need nobody else but me 이건 간단해 마냥 더하기에 다 알기에 너는 하루의 끝에 따뜻한 물 휴식을 맘에 얹어 난 너를 마신 듯 온기가 닿으면 널 생각해 온기가 닿으면 널 생각해 너는 하루의 끝에 따뜻한 물 매일 네게 차를 건네 내 마음을 전하 듯 온기가 닿으면 널 생각해 Been always on my mind 널 내안에 가끔 한숨 섞인 질투가 보여 걱정하지마 넌 내 마음이 보여 Baby you know how long I been on ya Ups and downs 해도 다리가 놓여 좋아 어디든 뭘 하던 내 옆에 I let you be the boss all you gotta do is take 내가 무언가를 바랄 때 너도 같이 웃을 수 있게 다 하나 하나 다 벗어던져 Talkin bout 가식 왜 베개를 던져 너가 늘 먼저 할게 많아도 늘 너에겐 넘쳐 너는 하루의 끝에 따뜻한 물 휴식을 맘에 얹어 난 너를 마신 듯 온기가 닿으면 널 생각해 온기가 닿으면 널 생각해 너는 하루의 끝에 따뜻한 물 매일 네게 차를 건네 내 마음을 전하 듯 온기가 닿으면 널 생각해 Been always on my mind 널 내안에',설렘&심쿵,1,2
6,J.cob (제이콥),Sugar (Feat. oceanfromtheblue),Baby 넌 멀리서 봐도 한눈에 들어와 Uh 열심히 꾸민 다른 애들과는 수준이 달라 Uh yeah 아침부터 널 만날 생각에 Baby 정신없이 나왔지 Yeah 그치만 네가 좋아하는 Fashion 잊지 않고 나왔지 Ay 언제나 날 바라볼 때 웃어주는 네가 있어서 다행이야 다행이야 I just wanna stay with you baby 언젠가 우리 마주 볼 땐 그때도 내 여자이길 약속해 Baby 약속해 I pray for the day My sugar 달콤하게 내게 녹아들어 아무 걱정 하지 않아도 돼 내게 있는 모든 것은 너를 위해 My sugar 너와 함께 있는 이 시간이 다신 돌아오지 않을 걸 알기에 더 소중한 지금 일 끝나면 전화해 오늘 일은 어땠는지 알아야 해 자기 전엔 네 목소릴 들어야 하루를 깔끔하게 마친 기분이야 알다시피 너 하나만 보고 있어 Cause your my baby I'm sure girl 꼭 옆에 있는 것만 같으니까 좋아 언제나 날 바라볼 때 웃어주는 네가 있어서 다행이야 다행이야 I just wanna stay with you baby 언젠가 우리 마주 볼 땐 그때도 내 여자이길 약속해 Baby 약속해 I pray for the day My sugar 달콤하게 내게 녹아들어 아무 걱정 하지 않아도 돼 내게 있는 모든 것은 너를 위해 My sugar 너와 함께 있는 이 시간이 다신 돌아오지 않을 걸 알기에 더 소중한 지금 지금 지금 나와 같은 생각을 하고 있다면 아무말 하지 말고 내게 안겨 Um yeah 만약 내가 바빠서 연락 못하면 우리사이가 멀어질까 혹시나 걱정하고 있다면 Woo baby 이 노랠 기억해 My sugar 달콤하게 내게 녹아들어 아무 걱정 하지 않아도 돼 내게 있는 모든 것은 너를 위해 My sugar 너와 함께 있는 이 시간이 다신 돌아오지 않을 걸 알기에 더 소중한 지금',설렘&심쿵,2,1
7,숨셔(Sumsher),이건 사랑이야 (Feat. Jayci yucca),난 애가 타 평생 나만 바라보겠다는 말은 가짜 같아 Yeah 나 불안해 다른 남자들에게 그런 웃음 짓지 마 불안하니까 Baby 어딜 가나 Look look look 내 시선은 너만 Loop loop loop 온 매력들을 내뿜어 넌 하지 말라고 숨어 난 지금 너를 찾는 중 음음 전화 연결음 뚜뚜뚜 Yeah 이건 사랑이야 정말 어떻게 해야 하니 널 자꾸 나를 미치게 만드는 걸 이유는 내가 다 설명할게 Baby yeah 오늘은 내 곁에 있어줘 Baby come on what you want yeah 너만 원함 모든 해 Yeah 옷을 말끔하게 갈아입고 거울을 보며 손짓해 술을 따라 마셔보고 나도 모를 눈빛을 하고 Oh 나의 침대맡엔 베개 두 개 하루 종일 연습을 해 Yeah 거울을 보며 용기를 내 Oh 네잎클로버 같은 널 가만둘 순 없어 Girl 이건 사랑이야 정말 어떻게 해야 하니 널 자꾸 나를 미치게 만드는 걸 이유는 내가 다 설명할게 Baby yeah 오늘은 내 곁에 있어줘 때론 네게 화를 내며 다신 안 볼듯해도 진심이 아니란 걸 너가 제일 잘 알면서 너와 멀어지는 건 내겐 악몽이야 Girl 헤어지기 싫다고 이건 사랑이야 Girl 자꾸 나를 미치게 만드는 걸 이유는 내가 다 설명할게 Baby yeah 오늘은 내 곁에 있어줘',설렘&심쿵,2,1
8,알틴비(Artinb),Olive,반짝이는 너를 바라보다 웃어주면 나는 두근거려 너의 옆에 있는 시간이 내게는 꿈같아 맞아 우리 엄청 웃었잖아 너도 내가 계속 생각날까 웃는 얼굴이 떠오르면 난 그냥 좋은가 봐 음 눈을 마주치면 난 하얀 숲을 그리게 돼 쓰다듬 듯 해님이 쏟아져 머리를 작게 뉘어보자고 자연히 반짝이는 너를 바라보다 웃고 마는 나는 설레어 너의 옆에 있는 시간이 내게는 꿈같아',설렘&심쿵,2,0
9,homezone,너란밤,아침이 밝아오고 넌 내 옆에서 편히 자고있어 혹시나 알고있을까 난 선잠으로 널 바라봤었어 지난 밤 우리 나눴던 대화에 시간이 가는줄 몰랐어 해가 저물고 그 자릴 메꾼 별들 그 아래 너를 다시 볼 수 있게 밤이 왔으면 좋겠어 난 까만 세상 you're the bright light 밤이 왔으면 좋겠어 널 껴안고서 더 깊이 파고들래 선물을 기다리는 어린아이 처럼 한 숨도 못 잤어 알고있을까 내겐 햇빛보다 밤하늘이 더 빛나보이는 걸 밤이 왔으면 좋겠어 난 까만 세상 you're the bright light 밤이 왔으면 좋겠어 널 껴안고서 더 깊이 파고들래',설렘&심쿵,0,2
