artist,song_name,golden_label,golden_dist,base1_dist,base2_dist,ours_dist
지소울 (GSoul),사랑이 공평할 순 없을까 (Feat. 벤),그리움,"[0.381, 0.2381, 0.0, 0.1905, 0.0, 0.1905]",[0.4231 0.1922 0.0569 0.0356 0.0873 0.2049],[0.2895 0.3571 0.0722 0.0171 0.1156 0.1486],"[0.1429, 0.0, 0.0, 0.2857, 0.3333, 0.2381]"
이승철,우린 (Prod. by 이찬혁 of AKMU),그리움,"[0.1333, 0.3333, 0.0, 0.0, 0.0667, 0.4667]",[0.454  0.039  0.0167 0.0141 0.2249 0.2514],[0.4388 0.0516 0.0261 0.0145 0.2379 0.231 ],"[0.0667, 0.2667, 0.0, 0.0, 0.3333, 0.3333]"
김범수,당신의 편이 되어 줄게요,그리움,"[0.1429, 0.4286, 0.0, 0.2143, 0.0, 0.2143]",[0.4166 0.0487 0.0207 0.0126 0.2432 0.2581],[0.4461 0.0725 0.0308 0.0137 0.1889 0.248 ],"[0.0, 0.4286, 0.0, 0.0, 0.2143, 0.3571]"
왁스(Wax),반대로 인 거야,그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.4318 0.0226 0.0134 0.0179 0.2069 0.3074],[0.3595 0.0191 0.0199 0.0146 0.223  0.3639],"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
"2F (신용재, 김원주)",가려진 별,그리움,"[0.3333, 0.2, 0.1333, 0.2667, 0.0667, 0.0]",[0.1383 0.2    0.1981 0.014  0.377  0.0726],[0.1557 0.25   0.4015 0.035  0.1161 0.0417],"[0.4, 0.1333, 0.0, 0.0667, 0.2667, 0.1333]"
솔지,천천히 와줄래,그리움,"[0.0769, 0.7692, 0.0, 0.0769, 0.0, 0.0769]",[0.4133 0.0475 0.0159 0.0191 0.1626 0.3417],[0.3268 0.0354 0.018  0.0135 0.2782 0.3282],"[0.1154, 0.5769, 0.0, 0.0385, 0.0, 0.2692]"
길구봉구,아파,그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.4666 0.1612 0.0429 0.0239 0.1053 0.2001],[0.4552 0.0805 0.0365 0.0142 0.1591 0.2545],"[0.2, 0.0, 0.0, 0.0, 0.0, 0.8]"
한동근,울어,그리움,"[0.1351, 0.2162, 0.0, 0.2162, 0.027, 0.4054]",[0.6251 0.0236 0.0126 0.0186 0.0991 0.2209],[0.4369 0.0248 0.0166 0.0118 0.1902 0.3197],"[0.1622, 0.027, 0.027, 0.0541, 0.2432, 0.4865]"
정유진,이별행동,그리움,"[0.125, 0.1667, 0.0, 0.2917, 0.0417, 0.375]",[0.5887 0.1269 0.0359 0.0167 0.1096 0.1222],[0.3899 0.2528 0.0966 0.0146 0.1128 0.1333],"[0.125, 0.25, 0.0, 0.2917, 0.0417, 0.2917]"
린(LYn),그댈 새겨두어요 (바른연애 길잡이 X 린),그리움,"[0.2083, 0.75, 0.0417, 0.0, 0.0, 0.0]",[0.3584 0.2494 0.0661 0.0214 0.1509 0.1538],[0.4077 0.1958 0.0587 0.0138 0.1563 0.1677],"[0.4167, 0.5, 0.0, 0.0, 0.0833, 0.0]"
울랄라세션(Ulala Session),가슴으로 운다,그리움,"[0.4167, 0.25, 0.0, 0.0417, 0.0, 0.2917]",[0.5628 0.089  0.0284 0.0194 0.1117 0.1887],[0.4729 0.1057 0.0392 0.0151 0.1318 0.2353],"[0.2917, 0.125, 0.0833, 0.0417, 0.2083, 0.25]"
DooBoo,아름답던날들..그리고우리들,그리움,"[0.3889, 0.1667, 0.0, 0.0, 0.0556, 0.3889]",[0.5018 0.0448 0.0168 0.017  0.1221 0.2974],[0.3865 0.0293 0.015  0.0126 0.1805 0.3761],"[0.3889, 0.0556, 0.0556, 0.0, 0.0556, 0.4444]"
시하,매일 이별하고 있었어,그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.5982 0.0289 0.0136 0.0177 0.0978 0.2438],[0.4278 0.0281 0.0158 0.0135 0.1599 0.3548],"[0.0, 0.0, 0.0, 0.0, 0.375, 0.625]"
반하나,한 여자가,그리움,"[0.5, 0.3636, 0.0455, 0.0455, 0.0, 0.0455]",[0.0961 0.3858 0.4053 0.0382 0.0368 0.0379],[0.0294 0.3983 0.5096 0.0255 0.0236 0.0136],"[0.4091, 0.3636, 0.0909, 0.0, 0.0, 0.1364]"
플랏나인,네가 없다는 게 거짓말 같아,그리움,"[0.25, 0.25, 0.0, 0.0625, 0.0625, 0.375]",[0.4142 0.1165 0.0459 0.0151 0.1879 0.2204],[0.4846 0.0555 0.0394 0.0132 0.1601 0.2472],"[0.3125, 0.125, 0.0, 0.0625, 0.0625, 0.4375]"
김도환,잊지 못하는 이유,그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.4426 0.0258 0.0146 0.015  0.1703 0.3316],[0.4164 0.0251 0.0147 0.0128 0.1798 0.3512],"[0.3333, 0.0, 0.0, 0.0, 0.0, 0.6667]"
성시경,우리 한 때 사랑한 건,그리움,"[0.3529, 0.4118, 0.0588, 0.0, 0.0, 0.1765]",[0.6307 0.0364 0.0166 0.0169 0.0939 0.2056],[0.4842 0.0373 0.0201 0.0119 0.1594 0.2871],"[0.2353, 0.2941, 0.1176, 0.0588, 0.1176, 0.1765]"
존박,그 노래,그리움,"[0.25, 0.3333, 0.1667, 0.0, 0.0, 0.25]",[0.7388 0.0466 0.0204 0.0164 0.0815 0.0963],[0.598  0.0694 0.0414 0.0131 0.1231 0.1549],"[0.1667, 0.4167, 0.1667, 0.0, 0.0, 0.25]"
카더가든,아무렇지 않은 사람,그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.4663 0.0961 0.0257 0.0252 0.1308 0.2559],[0.446  0.0646 0.0235 0.0137 0.1638 0.2885],"[0.0, 0.0, 0.0, 0.0, 0.125, 0.875]"
Eco bridge,그대가 부네요 (With 김필),그리움,"[0.3125, 0.4375, 0.0, 0.0, 0.125, 0.125]",[0.381  0.3373 0.083  0.0173 0.0846 0.0968],[0.4543 0.1957 0.0519 0.0136 0.112  0.1726],"[0.1875, 0.5, 0.0, 0.0, 0.1875, 0.125]"
권진아,잘 가,그리움,"[0.8667, 0.0, 0.0, 0.0, 0.0, 0.1333]",[0.5535 0.0334 0.0172 0.0147 0.149  0.2322],[0.4561 0.0335 0.0218 0.0123 0.1653 0.311 ],"[0.4667, 0.0, 0.0667, 0.0, 0.2, 0.2667]"
정승환,"안녕, 겨울",그리움,"[0.6316, 0.1579, 0.0, 0.0, 0.0, 0.2105]",[0.3899 0.0883 0.0439 0.011  0.2984 0.1684],[0.4754 0.0666 0.0369 0.0141 0.176  0.231 ],"[0.4737, 0.1053, 0.0, 0.0, 0.1579, 0.2632]"
이석훈,사랑하지 말아요 (Prod. 로코베리),그리움,"[0.24, 0.12, 0.0, 0.32, 0.08, 0.24]",[0.6327 0.0289 0.0145 0.0159 0.105  0.2029],[0.4672 0.0405 0.0259 0.0117 0.1802 0.2744],"[0.36, 0.12, 0.0, 0.08, 0.16, 0.28]"
이해리,사랑은 어디로 간 걸까,그리움,"[0.3659, 0.3171, 0.0, 0.0488, 0.0244, 0.2439]",[0.5831 0.0447 0.0171 0.0145 0.1474 0.1933],[0.4711 0.0416 0.022  0.0119 0.1904 0.2631],"[0.3415, 0.2683, 0.0, 0.0, 0.2195, 0.1707]"
HYNN(박혜원),그대 없이 그대와,그리움,"[0.4545, 0.2727, 0.0, 0.0, 0.1818, 0.0909]",[0.1006 0.5529 0.1908 0.026  0.0718 0.0579],[0.2031 0.4701 0.168  0.0134 0.0797 0.0658],"[0.5455, 0.3636, 0.0, 0.0, 0.0, 0.0909]"
