count,probability,kl_divergence
"[3, 0, 0, 6, 7, 5]","[0.1429, 0.0, 0.0, 0.2857, 0.3333, 0.2381]",4.845868783430131
"[1, 4, 0, 0, 5, 5]","[0.0667, 0.2667, 0.0, 0.0, 0.3333, 0.3333]",0.21639741117353353
"[0, 6, 0, 0, 3, 5]","[0.0, 0.4286, 0.0, 0.0, 0.2143, 0.3571]",6.684021420124958
"[0, 0, 0, 0, 0, 6]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0
"[6, 2, 0, 1, 4, 2]","[0.4, 0.1333, 0.0, 0.0667, 0.2667, 0.1333]",2.7913172331334413
"[3, 15, 0, 1, 0, 7]","[0.1154, 0.5769, 0.0, 0.0385, 0.0, 0.2692]",0.14703748059237476
"[1, 0, 0, 0, 0, 4]","[0.2, 0.0, 0.0, 0.0, 0.0, 0.8]",0.22314353083466434
"[6, 1, 1, 2, 9, 18]","[0.1622, 0.027, 0.027, 0.0541, 0.2432, 0.4865]",0.5914760065961725
"[3, 6, 0, 7, 1, 7]","[0.125, 0.25, 0.0, 0.2917, 0.0417, 0.2917]",0.026639694820336526
"[10, 12, 0, 0, 2, 0]","[0.4167, 0.5, 0.0, 0.0, 0.0833, 0.0]",0.8913349613809961
"[7, 3, 2, 1, 5, 6]","[0.2917, 0.125, 0.0833, 0.0417, 0.2083, 0.25]",0.3667613262367333
"[7, 1, 1, 0, 1, 8]","[0.3889, 0.0556, 0.0556, 0.0, 0.0556, 0.4444]",0.13114520907560112
"[0, 0, 0, 0, 3, 5]","[0.0, 0.0, 0.0, 0.0, 0.375, 0.625]",0.470003606553281
"[9, 8, 2, 0, 0, 3]","[0.4091, 0.3636, 0.0909, 0.0, 0.0, 0.1364]",0.8210121020054539
"[5, 2, 0, 1, 1, 7]","[0.3125, 0.125, 0.0, 0.0625, 0.0625, 0.4375]",0.059694401676755916
"[1, 0, 0, 0, 0, 2]","[0.3333, 0.0, 0.0, 0.0, 0.0, 0.6667]",0.4054150872065689
"[4, 5, 2, 1, 2, 3]","[0.2353, 0.2941, 0.1176, 0.0588, 0.1176, 0.1765]",0.24080081411949808
"[2, 5, 2, 0, 0, 3]","[0.1667, 0.4167, 0.1667, 0.0, 0.0, 0.25]",0.026982536494064277
"[0, 0, 0, 0, 1, 7]","[0.0, 0.0, 0.0, 0.0, 0.125, 0.875]",0.1335313731701844
"[3, 8, 0, 0, 3, 2]","[0.1875, 0.5, 0.0, 0.0, 0.1875, 0.125]",0.05052988410043931
"[7, 0, 1, 0, 3, 4]","[0.4667, 0.0, 0.0667, 0.0, 0.2, 0.2667]",0.44414615594889395
"[9, 2, 0, 0, 3, 5]","[0.4737, 0.1053, 0.0, 0.0, 0.1579, 0.2632]",0.1987412112105446
